RXCUI	ATC
205745	"[""C05BB01""]"
206223	"[""D10AF02""]"
206328	"[""D07AA02""]"
206637	"[""S01KA02""]"
206754	"[""A07EA03"", ""H02AB07""]"
997287	"[""R05DA04""]"
999783	"[""B03AE""]"
999805	"[""A11GA01"", ""B03AA02"", ""B03BA01"", ""B03BB01""]"
312887	"[""D11AF"", ""D01AE12""]"
313072	"[""V03AE01""]"
313195	"[""L02BA01""]"
313836	"[""R03DA05""]"
349629	"[""R03DA01"", ""R05CA03""]"
359634	"[""S01KA02""]"
375503	"[""C05CA03""]"
806718	"[""B05CB01"", ""B05XA03""]"
978583	"[""C07AA15""]"
310054	"[""L01XX79"", ""P01CX03""]"
860886	"[""C10AB05""]"
206975	"[""N02BA01""]"
308640	"[""D04AB04""]"
617322	"[""J01CR02"", ""J01CA04""]"
630679	"[""A16AB07""]"
639537	"[""C09CA06""]"
667136	"[""A02BA03""]"
643177	"[""L01EA02""]"
643712	"[""L04AX04""]"
636631	"[""L01BC08""]"
647121	"[""N03AX14""]"
702316	"[""N02BA51""]"
745679	"[""R03AC02""]"
861670	"[""N02CA01""]"
966210	"[""H03AA01""]"
966217	"[""H03AA01""]"
309672	"[""N06AA01""]"
749159	"[""G03AA06""]"
797979	"[""D10AE01""]"
761909	"[""C10AD52""]"
791838	"[""C10BA01""]"
864753	"[""N07BC02""]"
891710	"[""D02AA""]"
894970	"[""N02AA01""]"
897680	"[""C08DA01""]"
900984	"[""N03AX09""]"
903875	"[""N06AB08""]"
904431	"[""M05BA04""]"
905495	"[""N05BA02""]"
966397	"[""H03AA01""]"
992494	"[""D10AE01""]"
892263	"[""H03AA01""]"
308388	"[""A11GA01""]"
308989	"[""N04BA02""]"
309280	"[""A12CB01"", ""B05XA18""]"
310194	"[""L01XX11""]"
310870	"[""D07BA""]"
311198	"[""C01DA14""]"
312020	"[""C01DA02""]"
312457	"[""L01AX02""]"
198853	"[""A03AX13""]"
1992274	"[""D07AD01""]"
2058488	"[""P02BA01""]"
206752	"[""N03AB01""]"
999523	"[""V03AN01""]"
313862	"[""A09AA03""]"
314072	"[""S01EE01""]"
314157	"[""J05AH02""]"
313979	"[""H02AA02""]"
861724	"[""A01AA01""]"
897685	"[""C08DA01""]"
897753	"[""N02AA03""]"
898356	"[""C09BB13""]"
900866	"[""N03AX09""]"
905395	"[""C02DB02""]"
966171	"[""H03AA01""]"
897689	"[""N02AA03""]"
993091	"[""D03AX11""]"
2047769	"[""C07AB02""]"
892277	"[""H03AA01""]"
311714	"[""A06AA01""]"
198272	"[""N05AC02""]"
1998453	"[""N05AX12""]"
199998	"[""P02CF01""]"
201219	"[""J05AB09""]"
206159	"[""N03AE01""]"
207338	"[""A03AD01"", ""G04BE02""]"
995993	"[""R01BA02"", ""R05CA03"", ""R05DA04""]"
317173	"[""C09AA01""]"
346494	"[""H01AC01""]"
809325	"[""A09AA01""]"
826653	"[""A11EX""]"
829373	"[""A12CC01""]"
831393	"[""D01AC02""]"
831831	"[""A09AB01"", ""B05CX01"", ""B05CX03"", ""B05XB01"", ""B05XB03"", ""N06AX02"", ""V03AB26"", ""V04CA02"", ""V06DC01""]"
833234	"[""A07EC02""]"
2056490	"[""H03AA01""]"
313406	"[""B01AC05""]"
317564	"[""D07AA02""]"
359439	"[""R05FB02""]"
834150	"[""D08AC02""]"
836395	"[""N02AJ13""]"
847330	"[""J05AP01""]"
847621	"[""V07AB""]"
849322	"[""N02AC04""]"
849515	"[""H01BA02""]"
856734	"[""C07AA05""]"
857635	"[""R03CC03""]"
208588	"[""S01AA03"", ""S01AA18"", ""S01BA01"", ""S01CB01"", ""S03AA01"", ""S03AA03"", ""S03BA01""]"
209072	"[""B03BA01""]"
2099508	"[""G03AA05""]"
2105776	"[""J01CA04""]"
211190	"[""N02BE01"", ""N06BC01""]"
2100015	"[""D04AB01"", ""N01BB02""]"
211544	"[""L02AE03""]"
211880	"[""B01AC06"", ""N02BA01""]"
2120175	"[""D04AB01""]"
212229	"[""A07BA01""]"
212426	"[""D02AE01""]"
212434	"[""D02AE01""]"
212958	"[""L04AD01""]"
213663	"[""A07EA04"", ""C05AA05"", ""H02AB01"", ""R03BA04"", ""S03BA03""]"
214038	"[""S02DA03""]"
