rxcui,drug_name,tty,new_final,production
309682,dexamethasone 0.001 MG/MG / tobramycin 0.003 MG/MG Ophthalmic Ointment,SCD,S01CA01,H02AB02|S01BA01
1294196,Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution [Triaminic Night Time Cold & Cough],SBD,R01BA53,D04AA32|R01AA04|R06AA02|S01FB01|S01XA20
1043199,salicylic acid 5 MG/ML Topical Lotion [Celazome O-Plex],SBD,D01AE12,D01AE12|N02BA04
1658313,capsaicin 0.0000018 MG/MG / menthol 0.025 MG/MG Medicated Patch,SCD,M02AB01,N01BX04
1091387,histamine dihydrochloride 0.25 MG/ML Topical Cream,SCD,M02AX10,V04CG03
856955,acetaminophen 250 MG / caffeine 30 MG / chlorpheniramine maleate 2 MG / hydrocodone bitartrate 5 MG / phenylephrine hydrochloride 10 MG Oral Tablet [Hycomine Compound],SBD,R05DA20,N02BE01|N06BC01|R05DA03|R06AB04
992739,homatropine methylbromide 10 MG Oral Tablet [Homapin],SBD,A03BB06,S01FA05
1011833,lidocaine hydrochloride 40 MG/ML Mucous Membrane Topical Solution [LTA],SBD,N01BB02,D04AB01|N01BB02|R02AD02
1535618,allantoin 0.005 MG/MG / lidocaine hydrochloride 0.005 MG/MG Topical Ointment,SCD,N01BB02|N01BB52,C05AX03
664704,1000 ML glucose 50 MG/ML / potassium chloride 0.04 MEQ/ML / sodium chloride 2.25 MG/ML Injection,SCD,B05BB02,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|S01XA03|V06DC01
832907,calcium carbonate 1000 MG / cholecalciferol 133 UNT Oral Tablet,SCD,A11CC05|A12AA04,A11CC05
1191264,fluocinolone acetonide 0.1 MG/ML / hydroquinone 40 MG/ML / tretinoin 0.5 MG/ML Topical Cream [Tri-Luma],SBD,D10AD51,D11AX11
1006698,sulfacetamide sodium 100 MG/ML Ophthalmic Solution [S.O.S.S.],SBD,S01AB04,D10AB02
1190450,12 HR diphenhydramine hydrochloride 100 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet [Tekral],SBD,R01BA02|R06AA02,R01BA02
1551286,chlophedianol hydrochloride 2.5 MG/ML / dexbrompheniramine maleate 0.2 MG/ML Oral Solution,SCD,R05DB10,R05DB10|R06AB06
245224,phenylephrine 0.0025 MG/MG / zinc oxide 0.11 MG/MG Rectal Suppository,SCD,C05AX06,C05AX04|R01AA04|S01FB01|S01XA20
1539190,{28 (estradiol 0.5 MG / norethindrone acetate 0.1 MG Oral Tablet) } Pack [Mimvey Lo 28 Day],BPCK,G03FA01,G03CA03
1789947,2 ML papaverine hydrochloride 30 MG/ML Injection,SCD,A03AD01,G04BE02
807839,phenylephrine hydrochloride 1.5 MG/ML / potassium guaiacolsulfonate 20 MG/ML Oral Solution [Lusonal Reformulated Oct 2008],SBD,R01BA03|R05CA09,R05CA09
4511,folic acid,IN,B03BB01|V04CX02,B03BB
896976,hydrochlorothiazide 25 MG / labetalol hydrochloride 300 MG Oral Tablet,SCD,C07BG01,C03AA03|C07AG01
1010751,epinephrine 0.01 MG/ML / lidocaine hydrochloride 10 MG/ML Injectable Solution,SCD,N01BB02,C01CA24|D04AB01|N01BB02|R02AD02|S01EA01
664961,ketoconazole 0.02 MG/MG Topical Gel [Xolegel],SBD,D01AC08,D01AC08|J02AB02
313884,calcium carbonate 420 MG Chewable Tablet,SCD,A02AC01,A12AA04
308718,betamethasone 4 MG/ML Injectable Solution,SCD,H02AB01,D07AC01|H02AB01|S01BA06|S03BA03
238015,ethinyl estradiol 0.035 MG / norethindrone 0.4 MG Oral Tablet,SCD,G03AA05,G03CA01|G03DC02
762007,{7 (ethinyl estradiol 0.035 MG / norethindrone 0.5 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norethindrone 0.75 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norethindrone 1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Nortrel 7/7/7 28 Day],BPCK,G03AA05,G03AA05|G03FA01
1047873,atropine sulfate 0.06 MG / benzoic acid 9 MG / hyoscyamine sulfate 0.06 MG / methenamine 81.6 MG / methylene blue 10.8 MG / phenyl salicylate 36.2 MG Oral Tablet,SCD,A03BA01|A03BA03|G04BX12|J01XX05,A03BA03|G04BX12|J01XX05
762967,camphor 0.017 MG/MG / menthol 0.007 MG/MG / phenol 0.005 MG/MG / salicylic acid 0.005 MG/MG Topical Ointment,SCD,C05BB05|D01AE12|D08AE03,D01AE12|D08AE03|N02BA04
1367219,brompheniramine tannate 2.2 MG / phenylephrine tannate 1.58 MG Chewable Tablet,SCD,R01BA03|R06AB01,R06AB01
1426565,benzalkonium chloride 1.3 MG/ML Medicated Pad [Sani-Hands Basics],SBD,D08AJ01,D08AJ01|D08AJ08|R02AA16
