rxcui,drug_name,tty,new_final,production
853618,sulfur 0.05 MG/MG / zinc oxide 0.02 MG/MG / zinc sulfate 0.01 MG/MG Medicated Bar Soap,SCD,D02AB|D10AB02,A12CB01|D10AB02
211640,aluminum hydroxide 200 MG / magnesium hydroxide 200 MG / simethicone 20 MG Chewable Tablet [Almacone],SBD,A02AF02,A02AB01
308501,bacitracin 0.5 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 5 UNT/MG Topical Ointment,SCD,D06AX04|D06AX05,A07AA01|D06AX04|S01AA03
1869821,oxymetazoline hydrochloride 10 MG/ML Topical Cream [Rhofade],SBD,D11AX27,R01AA05
1011841,benzalkonium chloride 1.3 MG/ML / lidocaine hydrochloride 25 MG/ML Topical Solution [Mercuroclear],SBD,D04AB01|D08AJ01|D08AJ08|D09AA11|N01BB02,D04AB01|D08AJ01|D08AJ08|N01BB02|R02AA16|R02AD02
1190635,atropine sulfate 0.025 MG / diphenoxylate hydrochloride 2.5 MG Oral Tablet [Di-Atro],SBD,A03BA01|A07DA01,A07DA01
209704,bacitracin 5000 UNT/ML Injectable Solution [Baci-IM],SBD,J01XX10,D06AX05|J01XX10|R02AB04
1362791,dexchlorpheniramine maleate 0.2 MG/ML / hydrocodone bitartrate 0.4 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [Codimal DH Reformulated Oct 2007],SBD,R01BA03|R05DA03|R06AB02,R05DA03|R06AB02
2049391,salicylic acid 20 MG/ML Topical Spray [Acnefree SA],SBD,D01AE12,D01AE12|N02BA04
208560,timolol hemihydrate 2.5 MG/ML Ophthalmic Solution [Betimol],SBD,S01ED01,C07AA06
1011809,1.7 ML epinephrine 0.01 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge [Lignospan],SBD,N01BB02,C01CA24|D04AB01|N01BB02|R02AD02|S01EA01
1545174,hydrocortisone acetate 100 MG/ML Rectal Foam [Cortifoam],SBD,A07EA02|C05AA01|D07AA02|D07XA01,A07EA02
312881,salicylic acid 170 MG/ML Topical Solution,SCD,D01AE12,D01AE12|N02BA04
1010755,epinephrine 0.01 MG/ML / lidocaine hydrochloride 10 MG/ML Injectable Solution [Xylocaine with Epinephrine],SBD,N01BB02,C01CA24|D04AB01|N01BB02|R02AD02|S01EA01
1304566,coal tar 20 MG/ML / salicylic acid 40 MG/ML Medicated Shampoo [X-Seb T Pearl],SBD,D01AE12,D01AE12|N02BA04
995192,mineral oil 0.466 MG/MG / pramoxine hydrochloride 0.01 MG/MG / zinc oxide 0.125 MG/MG Rectal Ointment,SCD,A06AA01|C05AD07,A06AA01
1052943,tetrahydrozoline hydrochloride 0.5 MG/ML Ophthalmic Solution,SCD,S01GA02,R01AA06|R01AB03|S01GA02
1299702,isoproterenol hydrochloride 5 MG/ML Inhalation Solution [Isuprel],SBD,R03AB02|R03CB01,C01CA02|R03AB02|R03CB01
2725885,aflibercept-boav,PIN,S01LA05,
1793908,histamine dihydrochloride 0.5 MG/ML / menthol 15 MG/ML Topical Cream,SCD,L03AX14,V04CG03
1364100,chloroxylenol 2 MG/ML / triclosan 2 MG/ML Medicated Liquid Soap,SCD,D08AE05|D08AE04,D08AE05
310872,hydrocortisone 0.01 MG/MG / iodoquinol 0.03 MG/MG Topical Ointment,SCD,D07BA,G01AC01
1664543,12 HR chlorpheniramine maleate 8 MG / codeine phosphate 54.3 MG Extended Release Oral Tablet,SCD,R05DA04,R05DA04|R06AB04
1086386,glucose 50 MG/ML Oral Solution [Enfamil Glucose],SBD,V06DC01,B05BA03|V06DC01
1150114,0.5 ML lidocaine hydrochloride 10 MG/ML Prefilled Syringe,SCD,C01BB01|N01BB02,D04AB01|N01BB02|R02AD02
1305902,"fibrinogen, human 115 MG/ML / thrombin, human 600 UNT/ML Topical Solution [Tisseel]",SBD,B02BB01|B02BC06|B02BD30,B05XA07
1146712,salicylic acid 18.6 MG/ML Topical Lotion [Asepxia],SBD,D01AE12,D01AE12|N02BA04
2102938,levomenthol 10 MG/ML / lidocaine 40 MG/ML Topical Cream [Satohap Pain Relieving],SBD,D04AB01,D04AB01|N01BB02|R02AD02
763597,folic acid 0.8 MG / vitamin B12 1 MG Disintegrating Oral Tablet,SCD,A11JA,B03BA01|B03BB01
307746,aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension,SCD,A02AF02,A02AB01
790302,chloramphenicol 5 MG/ML Otic Solution [Chloromycetin],SBD,S02AA01,J01BA01|S01AA01|S02AA01
849651,inositol 324 MG Oral Capsule,SCD,A11HA07|C04AC03,A11HA07
359322,capsaicin 0.00075 MG/MG Topical Ointment,SCD,M02AB01,N01BX04
1116922,capsaicin 0.25 MG/ML Topical Spray [Painazin-CP],SBD,M02AB01,N01BX04
1046700,glycerin 2.5 MG/ML / naphazoline hydrochloride 0.12 MG/ML Ophthalmic Solution,SCD,S01GA01,A06AX01|S01GA01
318272,aspirin 81 MG Chewable Tablet,SCD,B01AC06,B01AC06|N02BA01|N02BA51
1047415,salicylic acid 0.02 MG/MG Paste,SCD,D02AF,D01AE12|N02BA04
1540356,hydrocortisone 25 MG/ML Topical Cream [Proctosol],SBD,D07AA02,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02
2048979,1 ML ethanol 0.99 ML/ML Injection,SCD,V03AZ01,D08AX08|V03AB16|V03AZ01
206033,clioquinol 30 MG/ML / hydrocortisone 10 MG/ML Topical Cream [Steroform],SBD,D07AA02|D08AH30,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02
197592,diazoxide 50 MG Oral Capsule,SCD,C02DA01|V03AH01,V03AH01
1114982,benzalkonium chloride 3.25 MG/ML Topical Cream [Mane 'N Tail Pro-Tect],SBD,D08AJ01|D09AA11,D08AJ01|D08AJ08|R02AA16
1542820,histamine dihydrochloride 0.5 MG/ML Topical Cream,SCD,L03AX14,V04CG03
829546,benzocaine 60 MG/ML Topical Spray,SCD,D04AB04,C05AD03|D04AB04|R02AD01
859376,guaifenesin 40 MG/ML / hydrocodone bitartrate 0.5 MG/ML / phenylephrine hydrochloride 1.5 MG/ML Oral Solution [Nazarin HC],SBD,R01BA03|R05CA03|R05DA03,R05CA03|R05DA03
1013659,24 HR minocycline 105 MG Extended Release Oral Tablet,SCD,J01AA08,A01AB23|J01AA08
1293508,caffeine 100 MG / ergotamine tartrate 2 MG Rectal Suppository,SCD,N02CA02|N02CA52,N02CA02|N02CA52|N06BC01
800812,dibasic potassium phosphate 0.26 MG/ML / glucose 50 MG/ML / magnesium chloride 0.00373 MEQ/ML / potassium chloride 0.00174 MEQ/ML / sodium acetate 0.039 MEQ/ML Injectable Solution [Isolyte P],SBD,B05BB02,B05XA08
636141,sodium phosphate 1500 MG Oral Tablet [OsmoPrep],SBD,A06AD17,A06AD17|A06AG01|B05XA09
1038798,glucose 4000 MG Chewable Tablet [Glutose],SBD,B05BA03,B05BA03|V06DC01
996746,codeine phosphate 1.5 MG/ML / diphenhydramine hydrochloride 2 MG/ML / phenylephrine hydrochloride 1.5 MG/ML Oral Solution [Endal CD],SBD,R01BA03|R05DA04|R06AA02,R05DA04
1494174,sulfacetamide sodium 98 MG/ML / sulfur 48 MG/ML Topical Lotion,SCD,D10AF06,D10AB02
1099097,{21 (ethinyl estradiol 0.02 MG / levonorgestrel 0.1 MG Oral Tablet) } Pack [Lessina 21 Day],BPCK,G03AA07,G03AC03|G03CA01
880411,salicylic acid 20 MG/ML / sulfur 20 MG/ML Medicated Shampoo [Ala Seb],SBD,D11AC08,D10AB02
1049178,benzethonium chloride 12.5 MG/ML Topical Foam [WhiskCare 357],SBD,D08AJ08,D08AJ08|R02AA09
1043205,capsaicin 0.0006 MG/MG Topical Gel [Hot Spot],SBD,M02AB01,N01BX04
212812,salicylic acid 0.02 MG/MG Topical Gel [Stri-Dex Clear Gel],SBD,D11AF,D01AE12|N02BA04
857758,chlorpheniramine maleate 0.4 MG/ML / hydrocodone bitartrate 0.334 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [HIST-HC],SBD,R01BA03|R05DA03|R06AB04,R05DA03|R06AB04
1235133,lidocaine 40 MG/ML / menthol 12.5 MG/ML Topical Cream,SCD,D04AB01,D04AB01|N01BB02|R02AD02
858854,chlorpheniramine maleate 0.4 MG/ML / hydrocodone bitartrate 0.5 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [Quindal HD],SBD,R01BA03|R05DA03|R06AB04,R05DA03|R06AB04
1489299,calamine 20 MG/ML / zinc oxide 120 MG/ML Topical Cream [Baby Anti Monkey Butt Diaper Rash Cream],SBD,D04AX,C05AX04
991488,codeine phosphate 2 MG/ML / promethazine hydrochloride 1.25 MG/ML Oral Solution [Pentazine with Codeine],SBD,R05DA04|R06AD02,R05DA04
