rxcui,drug_name,tty,new_final,production
707333,sodium chloride 6.5 MG/ML Nasal Solution [Ayr Saline Nasal],SBD,R01AX,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03
205871,epinephrine 1 MG/ML Injectable Solution [Ana-Guard],SBD,C01CA24,C01CA24|S01EA01
1046569,camphor 0.04 MG/MG / capsaicin 0.0025 MG/MG / menthol 0.0305 MG/MG Medicated Patch,SCD,M02AB01,N01BX04
206522,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Suspension [Cortomycin],SBD,S02CA03,A01AC03|A07AA01|A07EA02|D06AX04|D07AA02|D07AB02|D07AB11|H02AB09|S01AA03|S01BA02
1294382,diphenhydramine hydrochloride 2.5 MG/ML / hydrocodone bitartrate 0.7 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution,SCD,R01BA03|R05DA03|R06AA02,R05DA03
1189776,aspirin 500 MG Delayed Release Oral Tablet [Ecotrin],SBD,B01AC06|N02BA01,B01AC06|N02BA01|N02BA51
1425510,capsaicin 0.000325 MG/MG / lidocaine 0.045 MG/MG / menthol 0.1 MG/MG / methyl salicylate 0.275 MG/MG Topical Ointment [LidoPro],SBD,D04AB01|M02AB01,D04AB01|N01BB02|N01BX04|R02AD02
643142,lysine 500 MG Oral Tablet [L-Formula],SBD,V06DD,B05XB03
1037146,pheniramine maleate 8 MG / phenylpropanolamine hydrochloride 25 MG / phenyltoloxamine citrate 8 MG / pyrilamine maleate 8 MG Extended Release Oral Capsule [Poly Histine D],SBD,R01BA01|R06AB05|R06AC01,R01BA01
198556,capsaicin 0.25 MG/ML Topical Lotion,SCD,M02AB01,N01BX04
900528,aspirin 850 MG / caffeine 65 MG Oral Powder,SCD,N02BA51,N06BC01
1737852,10 ML methylene blue 10 MG/ML Injection,SCD,V03AB17,V03AB17|V04CG05
1251495,84 HR estradiol 0.00208 MG/HR / norethindrone acetate 0.00583 MG/HR Transdermal System [Combipatch],SBD,G03FA01,G03CA03
991000,physostigmine salicylate 2.5 MG/ML / pilocarpine hydrochloride 20 MG/ML Ophthalmic Solution,SCD,S01EB05,N07AX01|S01EB01
237506,ferrous sulfate 325 MG Extended Release Oral Capsule,SCD,B03AA07,B03AA01|B03AA07
1658260,magnesium sulfate 40 MG/ML Injection,SCD,A06AD04|A12CC02|B05XA05|V04CC02,A06AD04|B05XA05
1542988,hydrocodone bitartrate 10 MG / ibuprofen 200 MG Oral Tablet [Xylon],SBD,N02AJ23,R05DA03
1658303,potassium chloride 10 MEQ Extended Release Oral Capsule [Klor-Con],SBD,A12BA01,A12BA01|B05XA01
