rxcui,drug_name,tty,new_final,production
308985,carbenicillin 382 MG Oral Tablet,SCD,J01CA03,J01CA03|J01CA05
1020364,ethanol 0.62 ML/ML Topical Spray,SCD,D08AX08,D08AX08|V03AB16|V03AZ01
1360330,phenylephrine hydrochloride 0.04 MG/ML Prefilled Syringe,SCD,C01CA06,R01AA04|S01FB01|S01XA20
351277,phenylephrine tannate 25 MG / pyrilamine tannate 60 MG Oral Tablet,SCD,R01BA03|R06AC01,R01AA04|S01FB01|S01XA20
211394,choline salicylate 174 MG/ML Oral Solution [Arthropan],SBD,N02BA03|N07AX02,N02BA03
2045196,{21 (drospirenone 3 MG / ethinyl estradiol 0.03 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Zumandimine 28 Day],BPCK,G03AA12,G03AA12|G03AC10
2197110,100 ML sodium chloride 72 MG/ML Injection,SCD,B05BB01,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03
877014,salicylic acid 5 MG/ML Topical Foam,SCD,D01AE12,D01AE12|N02BA04
1307225,chlorpheniramine tannate 0.8 MG/ML / phenylephrine tannate 4 MG/ML Extended Release Suspension,SCD,R01BA03|R06AB04,R06AB04
237512,5 ML zinc sulfate 5 MG/ML Injection,SCD,B05XA18,A12CB01
1000935,pilocarpine hydrochloride 50 MG/ML Ophthalmic Solution [Isoptocarpine],SBD,S01EB01,N07AX01|S01EB01
1422080,lidocaine 40 MG/ML Topical Cream [AneCream],SBD,D04AB01,D04AB01|N01BB02|R02AD02
50121,fluticasone propionate,PIN,D07AC17|R01AD08|R03BA05,R03BA05
1918242,niraparib 100 MG Oral Capsule [Zejula],SBD,L01XK02,L01XX54
1294322,diphenhydramine hydrochloride 5 MG/ML / phenylephrine hydrochloride 1.5 MG/ML Oral Solution,SCD,R01BA03|R06AA02,D04AA32|R01AA04|R06AA02|S01FB01|S01XA20
310818,hydrochlorothiazide 50 MG / triamterene 75 MG Oral Tablet,SCD,C03EA01,C03AA03|C03DB02
1488333,benzyl alcohol 0.19 ML/ML / lidocaine hydrochloride 40 MG/ML Topical Spray [Biochemistry Heel No Pain],SBD,D04AB01,P03AX06
1011981,prednisolone acetate 0.0025 MG/MG / sulfacetamide sodium 0.1 MG/MG Ophthalmic Ointment [Cetapred],SBD,S01CA02,A07EA01|D10AB02|H02AB06|S01BA04|S03BA02
859225,chlorpheniramine maleate 0.8 MG/ML / hydrocodone bitartrate 0.5 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution,SCD,R01BA03|R05DA03|R06AB04,R05DA03|R06AB04
1087663,lysine 600 MG Oral Tablet,SCD,V06DD,B05XB03
1000555,sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Medicated Liquid Soap [Prascion],SBD,D10AB02|D10AF06,D10AB02
882504,diphenhydramine hydrochloride 12.5 MG Disintegrating Oral Tablet,SCD,R06AA02,D04AA32|R06AA02
1012272,epinephrine 0.005 MG/ML / etidocaine hydrochloride 10 MG/ML Injectable Solution [Duranest with epinephrine],SBD,N01BB57,N01BB07
1235490,benzocaine 15 MG / menthol 4 MG Oral Lozenge [Cepacol Sore Throat Pain Relief],SBD,R02AD01,C05AD03|D04AB04|R02AD01
1997446,ethanol 0.67 ML/ML Topical Spray,SCD,D08AX08,D08AX08|V03AB16|V03AZ01
857725,chlorpheniramine maleate 0.2 MG/ML / hydrocodone bitartrate 0.5 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [Histussin-HC],SBD,R01BA03|R05DA03|R06AB04,R05DA03|R06AB04
1114900,{12 (ascorbic acid 120 MG / calcium carbonate 200 MG / cholecalciferol 0.41 MG / choline bitartrate 55 MG / ferrous fumarate 27 MG / folic acid 1 MG / niacin 20 MG / potassium iodide 0.15 MG / pyridoxine hydrochloride 50 MG / riboflavin 3 MG / thiamine mononitrate 3 MG / vitamin B12 0.008 MG / vitamin E 0.03 MG / zinc oxide 15 MG Delayed Release Oral Tablet) / 12 (docosahexaenoic acid 250 MG / eicosapentaenoic acid 0.625 MG Oral Capsule) } Pack [Gesticare DHA Starter Pack],BPCK,A02AC01|A11CC05|A11DA01|A11GA01|A11HA02|A11HA03|A11HA04|A12AA04|B03AA02|B03BA01|B03BB01|C04AC01|C10AD02|N02BA03|N07AX02|R05CA02|S01XA04|S01XA26|V03AB21,A11CC05|A11DA01|A11GA01|A11HA02|A11HA03|A11HA04|B03BA01|B03BB01
1012231,sulfabenzamide 184 MG / sulfacetamide sodium 144 MG / sulfathiazole 172 MG Vaginal Insert [Sultrin Triple Sulfa],SBD,D06BA02,D10AB02
1294019,acetaminophen 325 MG / guaifenesin 200 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet,SCD,R05CA03,N02BE01|R01BA02|R05CA03
1489158,benzalkonium chloride 0.5 MG/ML / benzyl alcohol 0.02 ML/ML Topical Spray,SCD,D08AJ01|D09AA11|P03AX06,P03AX06
1114847,cholecalciferol 500 UNT / chondroitin sulfates 600 MG / glucosamine 750 MG Oral Tablet,SCD,M01AX25,A11CC05|M01AX05|M01AX25
686403,dimethicone 10 MG/ML / zinc oxide 100 MG/ML Topical Cream,SCD,D02AA,P03AX05
1430050,undecylenic acid 200 MG/ML Topical Spray,SCD,D01AE04,D01AE04|D01AE20
309785,1000 ML glucose 50 MG/ML / potassium chloride 0.03 MEQ/ML Injection,SCD,B05BB02,B05BA03|V06DC01
1050385,acetaminophen 32 MG/ML / diphenhydramine hydrochloride 1.25 MG/ML / phenylephrine hydrochloride 0.5 MG/ML Oral Solution,SCD,R01BA03,N02BE01
