rxcui,drug_name,tty,current_final,production,bucket,qa_prior,qa_cat
1293853,phenylephrine hydrochloride 0.0025 MG/MG / pramoxine hydrochloride 0.01 MG/MG Rectal Ointment,SCD,C05AD07|C05AX06,R01AA04|S01FB01|S01XA20,A2-combo-multi,,
1301959,sorbitol 700 MG/ML Rectal Solution,SCD,A06AD18|A06AG07,A06AD18|A06AG07|B05CX02|V04CC01,A2-combo-multi,,
1302656,24 HR minocycline 45 MG Extended Release Oral Capsule [Ximino],SBD,J01AA08,A01AB23|J01AA08,A3-single-single,,
1314654,calcium pantothenate 10 MG / copper sulfate 0.8 MG / ferrous fumarate 324 MG / folic acid 1 MG / magnesium sulfate 6.9 MG / manganese sulfate 1.3 MG / niacinamide 30 MG / pyridoxine hydrochloride 5 MG / riboflavin 6 MG / sodium ascorbate 200 MG / thiamine mononitrate 10 MG / vitamin B12 0.015 MG / zinc sulfate 18.2 MG Oral Capsule,SCD,A06AD04|A11DA01|A11HA01|A11HA02|A11HA04|A11HA31|A12CB01|A12CC02|B03AA02|B03BA01|B03BB01|V03AB20|V04CC02,A11DA01|A11HA01|A11HA02|A11HA04|A12CB01|B03BA01|B03BB01|V03AB20,A2-combo-multi,,
1359123,estradiol 0.5 MG / norethindrone acetate 0.1 MG Oral Tablet,SCD,G03FA11,G03CA03,A4-combo-single,,
1363363,ivermectin 0.0187 MG/MG Oral Paste,SCD,P02CF01,D11AX22|P02CF01,A4-combo-single,,
1370754,hydrocortisone valerate 2 MG/ML Topical Cream,SCD,D07AA02|D07XA01,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,A2-combo-multi,,
1372918,triclosan 1 MG/ML / undecylenic acid 37.8 MG/ML Topical Cream [Ting Cream],SBD,D01AE04|D08AE04|D09AA06,D01AE04|D01AE20|D08AE04,A2-combo-multi,,
1424307,carbinoxamine maleate 4 MG / pseudoephedrine hydrochloride 60 MG Chewable Tablet,SCD,R01BA02,R01BA02|R06AA08,A4-combo-single,,
1437306,diphenhydramine hydrochloride 1.67 MG/ML Oral Solution [ZZZ Sleep],SBD,R06AA02,D04AA32|R06AA02,A4-combo-single,,
1536447,Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution [Pediacare Nighttime Multi-Symptom Cold],SBD,R06AA02,D04AA32|R01AA04|R06AA02|S01FB01|S01XA20,A4-combo-single,,
1538280,benzocaine 100 MG/ML Topical Cream [Carmex Cold Sore Treatment],SBD,C05AD03|D04AB04,C05AD03|D04AB04|R02AD01,A2-combo-multi,,
1551286,chlophedianol hydrochloride 2.5 MG/ML / dexbrompheniramine maleate 0.2 MG/ML Oral Solution,SCD,R05DB10,R05DB10|R06AB06,A4-combo-single,,
1606488,lidocaine hydrochloride 0.04 MG/MG / menthol 0.01 MG/MG / methyl salicylate 0.02 MG/MG Medicated Patch,SCD,D04AB01,D04AB01|N01BB02|R02AD02,A4-combo-single,,
1648999,triamcinolone acetonide 5 MG/ML Topical Cream [Triderm],SBD,D07AB09,A01AC01|H02AB08|R01AD11,A4-combo-single,,
1741263,10 ML iron sucrose 20 MG/ML Injection [Venofer],SBD,B03AC,B03AB02,A4-combo-single,,
1745455,lidocaine 50 MG/ML / mineral oil 170 MG/ML / petrolatum 390 MG/ML / phenylephrine hydrochloride 2.5 MG/ML Topical Cream [RectiCare Advance Cream],SBD,C05AD01,A06AA01,A4-combo-single,,
1789740,diphenhydramine hydrochloride 6.25 MG/ML Oral Solution,SCD,R06AA02,D04AA32|R06AA02,A4-combo-single,,
1789738,diphenhydramine hydrochloride 2.5 MG/ML Oral Solution [Wal-Dryl Allergy],SBD,R06AA02,D04AA32|R06AA02,A4-combo-single,,
1792393,{30 (lenvatinib 10 MG Oral Capsule [Lenvima]) / 60 (lenvatinib 4 MG Oral Capsule [Lenvima]) } Pack [Lenvima 18],BPCK,L01EX08,L01XE29,A4-combo-single,,
1869595,{27 (dexamethasone 1.5 MG Oral Tablet) } Pack,GPCK,H02AB02,H02AB02|S01BA01,A6-pack-other,,
1874173,lidocaine 0.04 MG/MG Topical Gel [Alocaine],SBD,C05AD01|D04AB01,D04AB01|N01BB02|R02AD02,A2-combo-multi,,
1926571,hydrocortisone 10 MG/ML Medicated Shampoo,SCD,D07AA02,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,A4-combo-single,,
1244193,salicylic acid 15 MG/ML Topical Solution,SCD,D01AE12,D01AE12|N02BA04,A4-combo-single,,
1250554,undecylenic acid 0.01 MG/MG Powder Spray,SCD,D01AE04,D01AE04|D01AE20,A4-combo-single,,
1294338,aspirin 5.42 MG/ML / diphenhydramine citrate 0.633 MG/ML / phenylpropanolamine hydrochloride 0.25 MG/ML Oral Solution,SCD,A01AD05|B01AC06|N02BA01|R01BA01|R06AA02,R01BA01,A2-combo-multi,CHANGE_WRONG,ingredient-level-overbroad
1297833,aspirin 500 MG / caffeine 32.5 MG Oral Capsule,SCD,A01AD05|B01AC06|N02BA01|N06BC01,N06BC01,A2-combo-multi,,
1305100,ethanol 0.75 ML/ML Topical Gel,SCD,D08AX08,D08AX08|V03AB16|V03AZ01,A4-combo-single,,
1312496,ethanol 0.7 ML/ML / povidone-iodine 100 MG/ML Topical Solution [BD Persist],SBD,D08AG02|D08AX08|D09AA09|D11AC06,D08AG02|D09AA09|D11AC06|G01AX11|R02AA15,A2-combo-multi,,
1361402,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Backaid IPF],SBD,N02BE01,N02BE01|N06BC01,A4-combo-single,,
1362026,"10 ML heparin sodium, porcine 1 UNT/ML Prefilled Syringe",SCD,B01AB01|C05BA03,B01AB01,A2-combo-multi,,
1369777,ibuprofen 200 MG / phenylephrine hydrochloride 10 MG Oral Tablet [Advil Congestion Relief],SBD,M01AE01|M01AE14,M01AE01|M01AE14|M02AA13|R01AA04|S01FB01|S01XA20,A2-combo-multi,,
1372464,capsaicin 0.25 MG/ML / menthol 100 MG/ML / methyl salicylate 250 MG/ML Topical Lotion,SCD,M02AC,N01BX04,A4-combo-single,CHANGE_CORRECT,
1482679,undecylenic acid 100 MG/ML Topical Cream [Diaderm],SBD,D01AE04,D01AE04|D01AE20,A4-combo-single,,
1488218,diphenhydramine hydrochloride 1.67 MG/ML Oral Solution [Unisom Sleep],SBD,R06AA02,D04AA32|R06AA02,A4-combo-single,,
1542825,histamine dihydrochloride 0.5 MG/ML Topical Cream [Australian Dream],SBD,L03AX14,V04CG03,A4-combo-single,,
1547121,povidone-iodine 100 MG/ML Topical Solution [Triadine],SBD,D08AG02|D09AA09|D11AC06,D08AG02|G01AX11,A2-combo-multi,CHANGE_WRONG,ingredient-level-overbroad
1729173,lidocaine 50 MG/ML Rectal Cream [Zensa],SBD,C05AD01,D04AB01|N01BB02|R02AD02,A4-combo-single,,
1734777,capsaicin 1.5 MG/ML Topical Oil,SCD,M02AB01,N01BX04,A4-combo-single,,
1737724,lidocaine hydrochloride 8 MG/ML Injection,SCD,C01BB01|C05AD01|N01BB02,D04AB01|N01BB02|R02AD02,A2-combo-multi,,
1858383,phenylephrine hydrochloride 1 MG/ML / pyrilamine maleate 3.2 MG/ML Oral Solution,SCD,R01BA53,R01AA04|S01FB01|S01XA20,A4-combo-single,,
1869344,0.85 ML sodium hyaluronate 10 MG/ML Prefilled Syringe [Provisc],SBD,S01KA01,M09AX01,A4-combo-single,,
1243998,miconazole nitrate 20 MG/ML Topical Cream [Trivase],SBD,D01AC02,A01AB09|D01AC02|G01AF04,A4-combo-single,,
1251782,potassium bicarbonate 11700 MG / sodium bicarbonate 117000 MG / sodium citrate 2400 MG Powder for Oral Solution [Pleo Alkala],SBD,A12BA04|B05CB02|B05CB04,B05CB02,A2-combo-multi,,
1297524,diphenhydramine tannate 5 MG/ML Extended Release Suspension [Dytan],SBD,R06AA02,D04AA32|R06AA02,A4-combo-single,,
1302617,benzethonium chloride 2 MG/ML Medicated Shampoo,SCD,D08AJ08,R02AA09,A4-combo-single,,
1310481,diphenhydramine hydrochloride 10 MG Oral Tablet [Vetadryl],SBD,R06AA02,D04AA32|R06AA02,A3-single-single,,
1356524,ivermectin 0.136 MG / praziquantel 114 MG / pyrantel 114 MG Chewable Tablet [Quadriguard],SBD,P02BA01|P02CC01|P02CF01,P02BA01|P02CC01,A2-combo-multi,,
1366788,ivermectin 10 MG/ML Injectable Solution [Promectin],SBD,P02CF01,D11AX22|P02CF01,A4-combo-single,,
197592,diazoxide 50 MG Oral Capsule,SCD,C02DA01|V03AH01,V03AH01,A1-single-multi,,
1494979,24 HR glycine 25 MG / isoleucine 50 MG / ubidecarenone 100 MG Extended Release Oral Tablet,SCD,C01EB09,B05CX03|C01EB09,A4-combo-single,,
1592290,lidocaine 0.04 MG/MG Topical Gel [Comfortcaine],SBD,D04AB01,D04AB01|N01BB02|R02AD02,A4-combo-single,,
1593876,sodium chloride 6.5 MG/ML Nasal Spray [Altamist],SBD,R01AX,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A4-combo-single,,
1735004,fentanyl 0.05 MG/ML Injection,SCD,N01AH01|N02AB03,N01AH01,A2-combo-multi,,
1791409,500 ML mannitol 200 MG/ML Injection [Osmitrol],SBD,B05BC01,A06AD16,A4-combo-single,,
1801689,phytosphingosine hydrochloride 0.1 MG/ML / salicylic acid 1.5 MG/ML Otic Solution,SCD,D01AE12|N02BA04|N02BA12|S01BC08,D01AE12|N02BA04,A2-combo-multi,,
197576,dexamethasone 0.25 MG Oral Tablet,SCD,H02AB02,H02AB02|S01BA01,A3-single-single,,
1249026,danthron 50 MG / docusate sodium 100 MG Oral Capsule,SCD,A06AA02|A06AB03,A06AB03,A2-combo-multi,,
1251212,chlorhexidine gluconate 5 MG/ML Topical Solution [Supreme],SBD,D08AC02,A01AB03|D08AC02|R02AA05,A4-combo-single,,
1251594,Benzocaine 200 MG/ML / Cetylpyridinium Chloride 1 MG/ML Mucous Membrane Topical Solution [Orajel Mouth-Aid],SBD,C05AD03|D04AB04,C05AD03|D04AB04|R02AD01,A2-combo-multi,,
1312997,salicylic acid 0.03 MG/MG Topical Ointment [Bensal],SBD,D11AF,D01AE12|N02BA04,A4-combo-single,,
1358777,{21 (ethinyl estradiol 0.02 MG / norethindrone acetate 1 MG Oral Tablet) } Pack [Gildess 1/20 21 Day],BPCK,G03AC01|G03CA01|G03DC02|L02AA03,G03AA05,A2-combo-multi,,
1362822,"heparin sodium, porcine 7500 UNT/ML Injectable Solution",SCD,B01AB01|C05BA03,B01AB01,A2-combo-multi,,
