rxcui,atcprod_l4s,candidate_l5,coverage
1293727,D07XA,D07XA01,COVERED
1422064,,,MISS
1356802,R05DA,R05DA04,COVERED
1425448,,,MISS
1356841,R01BA,R01BA03,COVERED
1425446,,,MISS
1437678,,,MISS
1372312,R01BA,R01BA03,COVERED
1549312,,,MISS
1599815,,,MISS
197429,,,MISS
1246068,,,MISS
1539545,R01BA,R01BA03,COVERED
1300074,,,MISS
1356803,M02AC,,COVERED
1247441,D04AB,D04AB04,COVERED
1293905,D04AB,D04AB07,COVERED
1375115,,,MISS
1797059,D02AB,,COVERED
1860100,B03AA,B03AA07,COVERED
1293717,D04AA,D04AA32,COVERED
1439915,,,MISS
1485215,,,MISS
1494214,D02AB,,COVERED
1549403,,,MISS
1358750,,,MISS
1795478,,,MISS
1305810,,,MISS
1309346,D02AA,,COVERED
1551519,,,MISS
1436083,C05AD,C05AD01,COVERED
1241888,,,MISS
1359545,,,MISS
1487376,D11AF,,COVERED
1359675,,,MISS
1870633,J01GB,J01GB03,COVERED
1251337,,,MISS
1307862,D02AA,,COVERED
1651393,,,MISS
1359111,,,MISS
1438107,A02AD,,COVERED
197362,D02AX|D07AC,,COVERED
1362781,,,MISS
1429345,R01BA,R01BA03,COVERED
1427997,,,MISS
1541928,L01EX,L01EX01,COVERED
1425228,L01EC,L01EC02,COVERED
1375981,D02AB,,COVERED
993261,,,MISS
668660,H02AB,H02AB06,COVERED
701305,D10AD,D10AD01,COVERED
876866,,,MISS
308402,,,MISS
644790,A11JA,,COVERED
310866,,,MISS
800057,B05DB,,COVERED
800115,B05DB,,COVERED
308207,J01CA,J01CA01,COVERED
2003792,,,MISS
884772,M09AB,M09AB03,COVERED
896864,,,MISS
198461,N02BA,N02BA01,COVERED
2046528,R06AA,R06AA02,COVERED
991502,,,MISS
309926,,,MISS
204520,A12BA,A12BA01,COVERED
310867,,,MISS
994007,M01AE,M01AE02,COVERED
308907,A02AC,A02AC01,COVERED
669750,D07AB,D07AB08,COVERED
2001745,,,MISS
748856,G03AA,,COVERED
205800,,,MISS
1305757,G03AB|G03AA,,COVERED
308761,A07BB|A02BD,,COVERED
749737,G03AA,,COVERED
998509,D01AC,D01AC02,COVERED
311450,B05BC,B05BC01,COVERED
701184,,,MISS
702019,,,MISS
701371,,,MISS
668901,,,MISS
755839,,,MISS
747260,,,MISS
309274,,,MISS
308791,,,MISS
1089090,R01AX,,COVERED
314106,P01AB|A02BD,P01AB01,COVERED
310208,,,MISS
629699,J01AA,J01AA08,COVERED
861657,C01DA,C01DA02,COVERED
800037,,,MISS
990990,,,MISS
1998481,H02AB,H02AB02,COVERED
998540,G01AF,G01AF04,COVERED
309695,,,MISS
312215,A03AD,A03AD01,COVERED
313002,B05XA,B05XA03,COVERED
695964,,,MISS
311931,,,MISS
996032,B03AE,,COVERED
831872,G03CA|G03AA|G03AB,G03CA01,COVERED
629979,,,MISS
798118,,,MISS
861580,,,MISS
755802,,,MISS
313634,B03AE,,COVERED
309690,,,MISS
312178,,,MISS
2045892,,,MISS
207291,,,MISS
884211,,,MISS
967944,,,MISS
308905,,,MISS
310226,,,MISS
2054159,L01EX,L01EX08,COVERED
1090000,,,MISS
198455,,,MISS
990997,S01EB,S01EB05,COVERED
998400,,,MISS
701990,S01XA,,COVERED
801632,,,MISS
995070,R05DA,R05DA04,COVERED
315186,,,MISS
967558,D02AB,,COVERED
998530,D01AC,D01AC02,COVERED
800976,,,MISS
891812,A11JB,,COVERED
208812,,,MISS
209278,,,MISS
1087912,D08AX,D08AX08,COVERED
210372,,,MISS
207358,J01AA,J01AA08,COVERED
314163,A12BA,A12BA01,COVERED
998679,C02AC,C02AC01,COVERED
2108098,,,MISS
211677,,,MISS
2171132,,,MISS
388525,D05AX,D05AX02,COVERED
213560,,,MISS
1094748,,,MISS
1099581,,,MISS
2106362,A07AA,A07AA13,COVERED
831259,,,MISS
1116104,,,MISS
212265,,,MISS
1094338,R06AA,R06AA02,COVERED
1112248,R01BA,R01BA02,COVERED
406468,,,MISS
859232,,,MISS
859230,,,MISS
404472,A02AD,A02AD03,COVERED
211149,A07BB|A02BD,,COVERED
800925,B05BB,,COVERED
1011996,,,MISS
1190776,A03BA,A03BA01,COVERED
1012266,,,MISS
1037088,,,MISS
486515,B05CB,B05CB01,COVERED
1044284,,,MISS
858366,S01BC,S01BC05,COVERED
1010688,N01BB,N01BB02,COVERED
1006686,,,MISS
1085642,,,MISS
238031,,,MISS
250912,D04AB,D04AB01,COVERED
1049374,D09AA,D09AA11,COVERED
308072,A02AD,A02AD03,COVERED
1190611,A03BA,A03BA01,COVERED
616401,,,MISS
1039026,D08AJ,D08AJ08,COVERED
211316,N01BA,N01BA05,COVERED
1192862,S01KA,,COVERED
312287,,,MISS
1001437,N02BA,,COVERED
208940,,,MISS
351330,D10AF,D10AF01,COVERED
210046,,,MISS
828365,C05AD,C05AD07,COVERED
314259,N01AF,N01AF03,COVERED
830648,D10AD,D10AD03,COVERED
211334,,,MISS
312282,,,MISS
1099577,,,MISS
1999991,,,MISS
205878,,,MISS
313950,,,MISS
315145,,,MISS
831302,,,MISS
351958,,,MISS
827671,D02AX,,COVERED
2118449,J01XA,J01XA01,COVERED
858140,,,MISS
208314,,,MISS
208953,,,MISS
2104345,,,MISS
858664,R02AD,R02AD01,COVERED
1093222,,,MISS
1093085,,,MISS
403914,A03BB,A03BB03,COVERED
808502,D02AA,,COVERED
809819,V03AB,V03AB04,COVERED
1146715,,,MISS
213082,D10AF,D10AF02,COVERED
430249,,,MISS
1093113,R06AA,R06AA02,COVERED
1000858,,,MISS
1039073,,,MISS
1046301,,,MISS
1085758,,,MISS
1233282,D08AJ,D08AJ01,COVERED
1086030,,,MISS
284051,,,MISS
1193345,L01EJ,L01EJ01,COVERED
2176259,,,MISS
238920,D07AC,D07AC01,COVERED
544597,R05CA,R05CA02,COVERED
239204,J01GB,J01GB03,COVERED
1235133,,,MISS
1190694,,,MISS
1667915,C01CA,C01CA02,COVERED
1232711,,,MISS
1733890,N01BB,N01BB02,COVERED
1000686,,,MISS
261380,,,MISS
411877,A12CC,A12CC10,COVERED
577181,A06AC,,COVERED
2123151,,,MISS
543816,N01BA,N01BA05,COVERED
1150969,,,MISS
1233607,A12AX,,COVERED
1232397,,,MISS
541953,,,MISS
1050076,R06AA,R06AA02,COVERED
1012963,,,MISS
1001593,B02BC,B02BC06,COVERED
1046654,S01GA,S01GA01,COVERED
1657749,,,MISS
282836,A11JC,,COVERED
198710,,,MISS
804374,,,MISS
1657660,L01FE,L01FE01,COVERED
402091,L01EB,L01EB01,COVERED
1115012,N02BF,N02BF01,COVERED
1657664,L01FE,L01FE01,COVERED
388052,S01AD,S01AD09,COVERED
211337,,,MISS
213622,,,MISS
403941,,,MISS
801925,V07AB,,COVERED
1099896,M02AC,,COVERED
1012084,,,MISS
242960,,,MISS
808085,B03AB,,COVERED
1235591,J05AJ,J05AJ01,COVERED
1663455,,,MISS
1049111,D08AJ,D08AJ08,COVERED
543460,D02AX,,COVERED
211804,,,MISS
312481,C02LE,,COVERED
858320,D02AA,,COVERED
1045424,D08AJ|D02AC,D08AJ08,COVERED
1789470,,,MISS
1046700,S01GA,S01GA01,COVERED
1795473,,,MISS
1053258,R01BA,R01BA03,COVERED
1657658,L01FE,L01FE01,COVERED
1235150,C09DA,,COVERED
544550,G04BC,,COVERED
251400,D11AF,,COVERED
248332,D07AC|D02AX,,COVERED
1790684,D07AA,D07AA02,COVERED
1809845,,,MISS
1663733,D02AB,,COVERED
1236459,,,MISS
1245466,,,MISS
1251345,,,MISS
1807548,B05XA,B05XA03,COVERED
1797917,R01AD,R01AD01,COVERED
1870650,J01GB,J01GB03,COVERED
1923481,R02AD,R02AD01,COVERED
1293320,,,MISS
1314479,,,MISS
1301694,,,MISS
1251416,D08AX,D08AX08,COVERED
1425114,,,MISS
1294034,D04AB,D04AB07,COVERED
1483624,,,MISS
1303159,N02BE,N02BE01,COVERED
1484770,,,MISS
1358853,N02BE,N02BE01,COVERED
1435490,R02AD,R02AD01,COVERED
1551493,,,MISS
1600611,,,MISS
1430383,G03AC,G03AC01,COVERED
1426687,R02AA,R02AA06,COVERED
1493162,D08AJ,D08AJ01,COVERED
1536993,R01BA,R01BA03,COVERED
1235731,,,MISS
1244573,,,MISS
1291375,A01AB,,COVERED
1250559,,,MISS
1360011,,,MISS
1314474,,,MISS
1797921,R01AD,R01AD01,COVERED
1366630,,,MISS
1372304,,,MISS
1795147,B05BB,,COVERED
1250282,A02AD,A02AD03,COVERED
1423838,,,MISS
1357416,,,MISS
1488624,A02AH,,COVERED
1549559,R06AA,R06AA02,COVERED
1595448,D04AB,D04AB01,COVERED
1369972,R05DB,R05DB10,COVERED
1305892,B02BC,B02BC06,COVERED
1807508,J01XA,J01XA01,COVERED
1546589,D02AB,,COVERED
1249602,,,MISS
1426278,,,MISS
1483340,,,MISS
1547771,S01HA,S01HA03,COVERED
1737582,J01FF,J01FF01,COVERED
1492682,,,MISS
1422080,D04AB,D04AB01,COVERED
1597119,,,MISS
1809029,A11JA,,COVERED
1248156,,,MISS
1294364,,,MISS
1941643,D11AF,,COVERED
1483143,,,MISS
1539953,G03AC,G03AC01,COVERED
1486572,,,MISS
1492678,,,MISS
1548724,S01BA,S01BA04,COVERED
1651332,,,MISS
