rxcui,final_codes,fix_source
1430383,G03AC01,atcprod-confirmed
1435490,R02AD01,atcprod-confirmed
1493162,D08AJ01,atcprod-confirmed
1797921,R01AD01,atcprod-confirmed
1250282,A02AD03,atcprod-confirmed
1369972,R05DB10,atcprod-confirmed
1547771,S01HA03,atcprod-confirmed
1549559,R06AA02,atcprod-confirmed
1595448,D04AB01,atcprod-confirmed
1737582,J01FF01,atcprod-confirmed
1807508,J01XA01,atcprod-confirmed
1422080,D04AB01,atcprod-confirmed
1539953,G03AC01,atcprod-confirmed
1548724,S01BA04,atcprod-confirmed
1536675,N02BA01,atcprod-confirmed
1539955,G03AC01,atcprod-confirmed
1604350,L01EX08,atcprod-confirmed
1601394,L01EF01,atcprod-confirmed
797951,D01AE12,atcprod-confirmed
899660,C01DA02,atcprod-confirmed
310132,C01CA24,atcprod-confirmed
198477,N02BA01,atcprod-confirmed
2045382,R03BA09,atcprod-confirmed
998541,G01AF04,atcprod-confirmed
792582,B05XA02,atcprod-confirmed
312564,D08AG02,atcprod-confirmed
2047428,N02BE01,atcprod-confirmed
312517,A12BA01,atcprod-confirmed
792051,M02AB01,atcprod-confirmed
882506,R06AA02,atcprod-confirmed
990999,S01EB05,atcprod-confirmed
310322,B03AA07,atcprod-confirmed
706868,S01AA26,atcprod-confirmed
877513,L01XH02,atcprod-confirmed
996209,S01GA02,atcprod-confirmed
318272,B01AC06,atcprod-confirmed
763472,G04BE01,atcprod-confirmed
864650,S01AD09,atcprod-confirmed
312013,C01DA02,atcprod-confirmed
206347,D07AA02,atcprod-confirmed
903309,H03AA02,atcprod-confirmed
2003255,J05AR12,atcprod-confirmed
807277,J07AM01,atcprod-confirmed
210961,A12CC10,atcprod-confirmed
2118835,H02AB02,atcprod-confirmed
1094724,D08AX08,atcprod-confirmed
1099668,R01BA02,atcprod-confirmed
1099634,R05CA03,atcprod-confirmed
1190538,A03BA01,atcprod-confirmed
1232651,C01CA06,atcprod-confirmed
1234333,D07XA01,atcprod-confirmed
582753,D08AX08,atcprod-confirmed
1043399,M02AB01,atcprod-confirmed
1045420,D08AJ08,atcprod-confirmed
2002590,D01AE12,atcprod-confirmed
828381,C10AB05,atcprod-confirmed
2118829,H02AB02,atcprod-confirmed
2174801,D04AA32,atcprod-confirmed
1116294,C01CA26,atcprod-confirmed
848176,D07AC01,atcprod-confirmed
607038,N02BF02,atcprod-confirmed
1010739,N01BB02,atcprod-confirmed
1010749,N01BB02,atcprod-confirmed
1049280,D08AJ01,atcprod-confirmed
251156,B03AA07,atcprod-confirmed
858838,N02AJ23,atcprod-confirmed
261314,P02CF01,atcprod-confirmed
1665362,B01AC06,atcprod-confirmed
603203,L01EB02,atcprod-confirmed
607018,N02BF02,atcprod-confirmed
859063,M01AB05,atcprod-confirmed
240707,G03AA09,atcprod-confirmed
1100907,N02BE01,atcprod-confirmed
543873,G01AC30,atcprod-promote-L4toL5
1085996,H02AB08,atcprod-confirmed
2184088,R01BA02,atcprod-confirmed
1744005,J05AR03,atcprod-confirmed
1868473,B05XA02,atcprod-confirmed
1868469,B05XA02,atcprod-confirmed
1242397,R01BA02,atcprod-confirmed
1302656,J01AA08,atcprod-confirmed
1363363,P02CF01,atcprod-confirmed
1424307,R01BA02,atcprod-confirmed
1437306,R06AA02,atcprod-confirmed
1551286,R05DB10,atcprod-confirmed
1648999,D07AB09,atcprod-confirmed
1789740,R06AA02,atcprod-confirmed
1792393,L01EX08,atcprod-confirmed
1869595,H02AB02,atcprod-confirmed
1244193,D01AE12,atcprod-confirmed
1305100,D08AX08,atcprod-confirmed
1361402,N02BE01,atcprod-confirmed
1482679,D01AE04,atcprod-confirmed
1729173,C05AD01,atcprod-confirmed
1494979,C01EB09,atcprod-confirmed
1592290,D04AB01,atcprod-confirmed
1791409,B05BC01,atcprod-confirmed
197576,H02AB02,atcprod-confirmed
1251212,D08AC02,atcprod-confirmed
705133,C01DA02,atcprod-confirmed
702503,D07AA02,atcprod-confirmed
729768,D01AC08,atcprod-confirmed
724863,N06BA13,atcprod-confirmed
198471,N02BA01,atcprod-confirmed
311998,V03AN04,atcprod-confirmed
343040,H02AB02,atcprod-confirmed
308403,N02BA01,atcprod-confirmed
310473,J01GB03,atcprod-confirmed
789980,J01CA01,atcprod-confirmed
308657,N01BA05,atcprod-confirmed
309291,D01AE14,atcprod-confirmed
204135,D07AB08,atcprod-confirmed
809206,D04AB04,atcprod-confirmed
2054120,D11AA01,atcprod-confirmed
205530,D07AB08,atcprod-confirmed
832864,D10AF06,atcprod-confirmed
847741,J05AR10,atcprod-confirmed
2109088,R03AA01,atcprod-confirmed
2121735,H02AB02,atcprod-confirmed
1149663,S01AX18,atcprod-confirmed
1010671,N01BB02,atcprod-confirmed
1046611,R01AA08,atcprod-confirmed
1048307,G04BX12,atcprod-confirmed
1085644,D07AB09,atcprod-confirmed
261119,D06BX01,atcprod-confirmed
1234519,D07XA01,atcprod-confirmed
1047786,G04BX12,atcprod-confirmed
1049285,D08AJ01,atcprod-confirmed
1085738,D07AB09,atcprod-confirmed
245489,A11CA02,atcprod-confirmed
106222,D04AB01,atcprod-confirmed
2056893,R05DA04,atcprod-confirmed
206535,B05BC01,atcprod-confirmed
853134,M02AB01,atcprod-promote-L4toL5
2099286,R05DA04,atcprod-confirmed
211189,N02BE01,atcprod-confirmed
2108020,S01BA01,atcprod-confirmed
577237,D06BX01,atcprod-confirmed
858772,N02AJ23,atcprod-confirmed
1000128,L02AB02,atcprod-confirmed
1010895,D04AB01,atcprod-confirmed
248411,D01AE12,atcprod-confirmed
1665459,M01AB15,atcprod-confirmed
1737850,V03AB17,atcprod-confirmed
1234552,D04AB07,atcprod-promote-L4toL5
1000673,S01AB04,atcprod-confirmed
1658265,B05XA05,atcprod-confirmed
2047247,L04AF02,atcprod-confirmed
313248,S01AA09,atcprod-confirmed
858374,J01AA08,atcprod-confirmed
261280,N02BF01,atcprod-confirmed
212462,A02AC01,atcprod-confirmed
242816,J01GB03,atcprod-confirmed
1737744,C01BB01,atcprod-confirmed
1804178,D08AX08,atcprod-confirmed
1876395,D08AJ08,atcprod-confirmed
1293311,A03BA01,atcprod-confirmed
1358843,R01BA03,atcprod-confirmed
1362704,R02AA06,atcprod-promote-L4toL5
1430054,D01AE04,atcprod-confirmed
1540356,D07AA02,atcprod-confirmed
1746915,J06BC04,atcprod-confirmed
1790167,L01EX07,atcprod-confirmed
1293344,R01BA02,atcprod-confirmed
1294589,D04AA32,atcprod-promote-L4toL5
1442122,M01AB05,atcprod-confirmed
1540507,R01BA03,atcprod-promote-L4toL5
1543069,D04AB01,atcprod-confirmed
1547767,R02AA06,atcprod-promote-L4toL5
1421893,D04AB01,atcprod-confirmed
1435159,D01AE04,atcprod-confirmed
1488047,D10AD01,atcprod-confirmed
1493276,J05AB01,atcprod-confirmed
1494825,D10AF06,atcprod-promote-L4toL5
1549401,D04AB01,atcprod-confirmed
1361021,C04AB01,atcprod-confirmed
1494827,D10AF06,atcprod-promote-L4toL5
1604336,G01AF01,atcprod-confirmed
199870,M02AB01,atcprod-confirmed
310869,D07AA02,atcprod-confirmed
312016,C01DA02,atcprod-confirmed
1988751,D01AE12,atcprod-confirmed
687064,J05AR05,atcprod-confirmed
748325,B02BD30,atcprod-confirmed
861960,N06BA13,atcprod-confirmed
