rxcui,drug_name,tty,our_value,resolver_value,provenance,who_check
836358,ipratropium bromide 0.2 MG/ML Inhalation Solution,SCD,R01AX03,R03BB01,route_filter,UNCONFIRMED
1049647,acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Percocet],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
197411,bromocriptine 2.5 MG Oral Tablet,SCD,G02CB01,N04BC01,route_filter,UNCONFIRMED
750126,sodium chloride 0.854 MEQ/ML Ophthalmic Solution [Adsorbonac],SBD,S01XA03,A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
761986,{7 (inert ingredients 1 MG Oral Tablet) / 21 (mestranol 0.05 MG / norethindrone 1 MG Oral Tablet) } Pack [Genora 1/50 28 Day],BPCK,G03FA01,G03AC01|G03DC02,history+per_ingredient,UNCONFIRMED
896226,28 ACTUAT fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair],SBD,R03AK06,R03AC12|D07AC17|R01AD08|R03BA05,history+per_ingredient,UNCONFIRMED
749571,{21 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack,GPCK,G03AA07,G03CA01|L02AA03|G03AC03|G03AD01,history+per_ingredient,UNCONFIRMED
1049703,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Capsule,SCD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
1049257,acetaminophen 400 MG / oxycodone hydrochloride 2.5 MG Oral Tablet,SCD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
1863606,glucose 50 MG/ML / potassium chloride 0.02 MEQ/ML / sodium chloride 4.5 MG/ML Injection,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|V06DC01,B05CX01|V04CA02|V06DC01|A12BA01|B05XA01|A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
1243237,benzalkonium chloride 15 MG/ML Medicated Shampoo [Mane 'N Tail Pro-Tect],SBD,D08AJ01|D09AA11,D08AJ01|D09AA11|R02AA16,route_filter,UNCONFIRMED
749866,{21 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) } Pack,GPCK,G03AA11,G03CA01|L02AA03,history+per_ingredient,UNCONFIRMED
763236,24 HR niacin 750 MG / simvastatin 20 MG Extended Release Oral Tablet [Simcor],SBD,C10AD52,C10AA01|C04AC01|C10AD02,history+per_ingredient,UNCONFIRMED
352336,eprosartan 600 MG / hydrochlorothiazide 25 MG Oral Tablet [Teveten HCT],SBD,C09DA02,C03AA03|C09CA02,history+per_ingredient,UNCONFIRMED
1049191,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Lynox],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
1049650,acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet [Percocet],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
332451,meloxicam 15 MG,SCDC,M01AC,M01AC06,route_filter,UNCONFIRMED
212792,phenol 0.01 MG/MG Topical Ointment [Unguentine],SBD,C05BB05|D08AE03,C05BB05|D08AE03|N01BX03,route_filter,UNCONFIRMED
1440184,hydrocortisone acetate 0.01 MG/MG Topical Ointment,SCD,D07AA02|D07XA01,C05AA01|D07AA02|D07XA01,route_filter,UNCONFIRMED
1545297,lidocaine hydrochloride 24.6 MG/ML Topical Spray [Hexa-Caine],SBD,C05AD01|D04AB01,C05AD01|D04AB01|N01BB02,route_filter,UNCONFIRMED
1720953,glycopyrrolate 0.0156 MG / indacaterol 0.0275 MG Inhalation Powder [Utibron],SBD,R03AL04,R03AC18|D11AA01,history+per_ingredient,UNCONFIRMED
686185,1000 ML glucose 50 MG/ML / potassium chloride 0.03 MEQ/ML / sodium chloride 2.25 MG/ML Injection,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|V06DC01,B05CX01|V04CA02|V06DC01|A12BA01|B05XA01|A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
309771,glucose 25 MG/ML / sodium chloride 0.0342 MEQ/ML Injectable Solution,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|V06DC01,B05CX01|V04CA02|V06DC01|A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
866455,24 HR hydrochlorothiazide 12.5 MG / metoprolol succinate 100 MG Extended Release Oral Tablet [Dutoprol],SBD,C07BB02,C03AA03|C07AB02,history+per_ingredient,UNCONFIRMED
896225,28 ACTUAT fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,SCD,R03AK06,R03AC12|D07AC17|R01AD08|R03BA05,history+per_ingredient,UNCONFIRMED
762677,{21 (mestranol 0.05 MG / norethindrone 1 MG Oral Tablet) } Pack [Necon 1/50 21 Day],BPCK,G03FA01,G03AC01|G03DC02,history+per_ingredient,UNCONFIRMED
324026,Allegra,BN,R06AX,R06AX26,route_filter,UNCONFIRMED
1151,ascorbic acid,IN,A11GA,A11GA01|G01AD03|S01XA15,route_filter,UNCONFIRMED
1192505,benzethonium chloride 2 MG/ML / benzocaine 100 MG/ML Topical Spray,SCD,D04AB04|D08AJ08,C05AD03|D04AB04|N01BA05|D08AJ08,route_filter,UNCONFIRMED
1300740,phenol 5 MG/ML Topical Solution,SCD,C05BB05|D08AE03,C05BB05|D08AE03|N01BX03,route_filter,UNCONFIRMED
664704,1000 ML glucose 50 MG/ML / potassium chloride 0.04 MEQ/ML / sodium chloride 2.25 MG/ML Injection,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|V06DC01,B05CX01|V04CA02|V06DC01|A12BA01|B05XA01|A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
205255,"diphtheria toxoid vaccine, inactivated 25 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",SCD,J07CA02,J07AF01|J07AM01,history+per_ingredient,UNCONFIRMED
1041810,dextromethorphan hydrobromide 3 MG/ML / pseudoephedrine hydrochloride 6 MG/ML / pyrilamine maleate 4 MG/ML Oral Solution,SCD,R05DA20,R05DA09|R01BA02|D04AA02|R06AC01,history+per_ingredient,UNCONFIRMED
1049232,acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet [Lynox],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
11248,vitamin B12,IN,B03BA,B03BA01,route_filter,UNCONFIRMED
