rxcui,drug_name,tty,our_value,resolver_value,provenance,who_check
749862,{7 (inert ingredients 1 MG Oral Tablet) / 21 (mestranol 0.05 MG / norethindrone 1 MG Oral Tablet) } Pack,GPCK,G03FA01,G03AC01|G03DC02,history+per_ingredient,UNCONFIRMED
200053,dextromethorphan hydrobromide 1.33 MG/ML / guaifenesin 13.3 MG/ML Oral Solution,SCD,R05FB02,R05DA09|R05CA03,history+per_ingredient,UNCONFIRMED
1011845,benzethonium chloride 0.002 MG/MG / lidocaine hydrochloride 0.025 MG/MG Topical Gel [StaphAseptic],SBD,C05AD01|D04AB01|D08AJ08,D08AJ08|C05AD01|D04AB01|N01BB02,route_filter,UNCONFIRMED
1049218,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Lynox],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
1192516,benzethonium chloride 2 MG/ML / benzocaine 100 MG/ML / menthol 3.3 MG/ML Topical Spray,SCD,D04AB04|D08AJ08,C05AD03|D04AB04|N01BA05|D08AJ08,route_filter,UNCONFIRMED
1007909,naloxone / tilidine,MIN,N02AX51,N02AX51|N02AX01|A06AH04|V03AB15,route_filter,UNCONFIRMED
1043562,metformin / saxagliptin,MIN,A10BD10,A10BD10|A10BA02|A10BH03,route_filter,CONFIRMED
1189803,simvastatin / sitagliptin,MIN,A10BH51,A10BH51|C10AA01|A10BH01,route_filter,CONFIRMED
1243019,linagliptin / metformin,MIN,A10BD11,A10BD11|A10BH05|A10BA02,route_filter,CONFIRMED
1304475,ziv-aflibercept,PIN,L01XX44,L01XX44|S01LA05,route_filter,UNCONFIRMED
1368384,alogliptin / metformin,MIN,A10BD13,A10BD13|A10BH04|A10BA02,route_filter,CONFIRMED
1368402,alogliptin / pioglitazone,MIN,A10BD09,A10BD09|A10BH04|A10BG03,route_filter,CONFIRMED
1422085,atorvastatin / ezetimibe,MIN,C10BA05,C10BA05|C10AX09|C10AA05,route_filter,CONFIRMED
1422086,atorvastatin 10 MG / ezetimibe 10 MG Oral Tablet,SCD,C10BA05,C10AX09|C10AA05,history+per_ingredient,UNCONFIRMED
1430892,fenofibrate / simvastatin,MIN,C10BA04,C10BA04|C10AA01|C10AB05,route_filter,CONFIRMED
1430990,donepezil / memantine,MIN,N06DA52,N06DA52|N06DA02|N06DX01,route_filter,UNCONFIRMED
1486436,dapagliflozin / metformin,MIN,A10BD15,A10BD15|A10BK01|A10BA02,route_filter,CONFIRMED
1543202,"insulin, regular, human 4 UNT Inhalation Powder",SCD,A10AF01,A10AB01,route_filter,UNCONFIRMED
1544488,"insulin, regular, human 8 UNT Inhalation Powder",SCD,A10AF01,A10AB01,route_filter,UNCONFIRMED
1545149,canagliflozin / metformin,MIN,A10BD16,A10BD16|A10BK02|A10BA02,route_filter,CONFIRMED
1551467,bupropion / naltrexone,MIN,A08AA62,A08AA62|N06AX12|N07BB04,route_filter,UNCONFIRMED
1591942,ledipasvir / sofosbuvir,MIN,J05AP51,J05AP51|J05AP08,route_filter,CONFIRMED
1597378,ombitasvir / paritaprevir / ritonavir,MIN,J05AP53,J05AP53|J05AE03,route_filter,CONFIRMED
1598392,empagliflozin / linagliptin,MIN,A10BD19,A10BD19|A10BH05|A10BK03,route_filter,CONFIRMED
1600259,dasabuvir / ombitasvir / paritaprevir / ritonavir,MIN,J05AP52,J05AP52|J05AP09|J05AE03,route_filter,CONFIRMED
1654910,"insulin, regular, human 12 UNT Inhalation Powder",SCD,A10AF01,A10AB01,route_filter,UNCONFIRMED
1656339,sacubitril / valsartan,MIN,C09DX04,C09DX04|C09CA03,route_filter,CONFIRMED
1657073,16 ML bevacizumab 25 MG/ML Injection,SCD,S01LA08,L01FG01,route_filter,UNCONFIRMED
1664314,empagliflozin / metformin,MIN,A10BD20,A10BD20|A10BK03|A10BA02,route_filter,CONFIRMED
1727493,insulin degludec / liraglutide,MIN,A10AE56,A10AE56|A10AE06|A10BJ02,route_filter,UNCONFIRMED
1727500,dapagliflozin / saxagliptin,MIN,A10BD21,A10BD21|A10BK01|A10BH03,route_filter,CONFIRMED
1734635,elbasvir / grazoprevir,MIN,J05AP54,J05AP54|J05AP10|J05AP11,route_filter,CONFIRMED
1798387,"{90 (insulin, regular, human 4 UNT Inhalation Powder) / 90 (insulin, regular, human 8 UNT Inhalation Powder) } Pack",GPCK,A10AF01,A10AB01,route_filter,UNCONFIRMED
1799211,sofosbuvir / velpatasvir,MIN,J05AP55,J05AP55|J05AP08,route_filter,CONFIRMED
