rxcui,drug_name,tty,our_value,resolver_value,provenance,who_check
725068,fluoxetine 50 MG / olanzapine 12 MG Oral Capsule [Symbyax],SBD,N06CA03,N06AB03|N05AH03,history+per_ingredient,UNCONFIRMED
790297,captopril 50 MG / hydrochlorothiazide 15 MG Oral Tablet [Capozide],SBD,C09BA01,C09AA01|C03AA03,history+per_ingredient,UNCONFIRMED
836286,200 ACTUAT albuterol 0.09 MG/ACTUAT / ipratropium bromide 0.018 MG/ACTUAT Inhalation Spray,SCD,R03AL02,R03AC02|R03CC02|R01AX03|R03BB01,history+per_ingredient,UNCONFIRMED
763232,24 HR niacin 500 MG / simvastatin 20 MG Extended Release Oral Tablet [Simcor],SBD,C10AD52,C10AA01|C04AC01|C10AD02,history+per_ingredient,UNCONFIRMED
897785,24 HR trandolapril 2 MG / verapamil hydrochloride 180 MG Extended Release Oral Tablet [Tarka],SBD,C09BB10,C08DA01|C09AA10,history+per_ingredient,UNCONFIRMED
904661,{30 (aspirin 325 MG Oral Tablet) / 30 (pravastatin sodium 20 MG Oral Tablet [Pravachol]) } Pack [Pravigard 325/20],BPCK,C10BX02,A01AD05|B01AC06|N02BA01|C10AA03,history+per_ingredient,UNCONFIRMED
861757,glyburide 5 MG / metformin hydrochloride 500 MG Oral Tablet [Glucovance],SBD,A10BD02,A10BB01|A10BA02,history+per_ingredient,UNCONFIRMED
359439,12 HR dextromethorphan hydrobromide 60 MG / guaifenesin 1000 MG Extended Release Oral Tablet,SCD,R05FB02,R05DA09|R05CA03,history+per_ingredient,UNCONFIRMED
1189827,simvastatin 40 MG / sitagliptin 100 MG Oral Tablet [Juvisync],SBD,A10BH51,C10AA01|A10BH01,history+per_ingredient,CONFIRMED
58930,Zyrtec,BN,R06AE,R06AE07,route_filter,UNCONFIRMED
1050496,acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Tablet [Roxicet],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
1050490,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Roxicet],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
1368423,alogliptin 12.5 MG / pioglitazone 45 MG Oral Tablet [Oseni],SBD,A10BD09,A10BH04|A10BG03,history+per_ingredient,CONFIRMED
876866,ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / ferrous sulfate 50 MG/ML / niacin 8 MG/ML / riboflavin 0.6 MG/ML / thiamine 0.5 MG/ML / vitamin A 0.45 MG/ML / vitamin B6 0.4 MG/ML / vitamin E 2.25 MG/ML Oral Solution [Poly-Vi-Sol with Iron],SBD,,A11DA01|A11CA01|D10AD02|R01AX02|S01XA02|A11HA03|A11GA01|G01AD03|S01XA15|A11CC05|B03AA07|C04AC01|C10AD02|A11HA04|S01XA26,history+per_ingredient,UNCONFIRMED
991557,hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet [Quinaretic],SBD,C09BA06,C09AA06|C03AA03,history+per_ingredient,UNCONFIRMED
831269,cromolyn sodium 20 MG/ML Oral Solution [Gastrocrom],SBD,A07EB01,A07EB01|R03BC01,route_filter,UNCONFIRMED
210372,nystatin 200000 UNT Oral Lozenge [Mycostatin Pastilles],SBD,A01AB11,A07AA02|D01AA01|G01AA01,history+per_ingredient,UNCONFIRMED
2109981,3 ML hyaluronic acid 8 MG/ML Prefilled Syringe [Hymovis],SBD,M09AX01,S01KA01,route_filter,UNCONFIRMED
1049653,acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet [Narvox],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
1795473,500 ML glucose 25 MG/ML / sodium chloride 4.5 MG/ML Injection,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|V06DC01,B05CX01|V04CA02|V06DC01|A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
1809845,hydrocortisone acetate 25 MG/ML Topical Cream [MiCort-HC],SBD,D07AA02|D07XA01,C05AA01|D07AA02|D07XA01,route_filter,UNCONFIRMED
749871,{21 (mestranol 0.05 MG / norethindrone 1 MG Oral Tablet) } Pack,GPCK,G03FA01,G03AC01|G03DC02,history+per_ingredient,UNCONFIRMED
763632,"{1 (bisacodyl 10 MG Rectal Suppository) / 4 (bisacodyl 5 MG Delayed Release Oral Tablet) / 1 (45 ML) (sodium phosphate 180 MG/ML / sodium phosphate, monobasic 480 MG/ML Oral Solution) } Pack",GPCK,A06AB02|A06AG20,A06AB02|A06AG02|A06AD17|A06AG01|B05XA09|V03AG05|V10XX01,history+per_ingredient,CONFIRMED
977885,amiloride hydrochloride 5 MG / hydrochlorothiazide 50 MG Oral Tablet [Moduretic],SBD,C03EA01,C03AA03|C03DB01,history+per_ingredient,UNCONFIRMED
898361,amlodipine 5 MG / benazepril hydrochloride 40 MG Oral Capsule [Lotrel],SBD,C09BB13,C08CA01|C09AA07,history+per_ingredient,UNCONFIRMED
749872,{21 (mestranol 0.05 MG / norethindrone 1 MG Oral Tablet) } Pack [Ortho-Novum 1/50 21 Day],BPCK,G03FA01,G03AC01|G03DC02,history+per_ingredient,UNCONFIRMED
896192,28 ACTUAT fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,SCD,R03AK06,R03AC12|D07AC17|R01AD08|R03BA05,history+per_ingredient,UNCONFIRMED
1039353,hydrocortisone acetate 10 MG/ML Vaginal Cream [Vagisil Satin],SBD,A01AC03|A07EA02|D07AA02|D07XA01|H02AB09|S01BA02|S02BA01,A01AC03|A07EA02|C05AA01|D07AA02|D07XA01|H02AB09|S01BA02|S01CB03|S02BA01,route_filter,UNCONFIRMED
1049211,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Perloxx],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
404554,"estrogens, conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet [Prempro]",SBD,G03FA12,G03CA57|G03AC06|G03DA02|L02AB02,history+per_ingredient,UNCONFIRMED
1090525,gentamicin 100 MG/ML Irrigation Solution,SCD,S01AA11,D06AX07|J01GB03|S01AA11|S02AA14|S03AA06,route_filter,UNCONFIRMED
1795251,glucose 50 MG/ML / sodium chloride 4.5 MG/ML Injection,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|V06DC01,B05CX01|V04CA02|V06DC01|A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
1301959,sorbitol 700 MG/ML Rectal Solution,SCD,A06AD18|A06AG07,A06AD18|A06AG07|B05CX02|V04CC01,route_filter,CONFIRMED
1370754,hydrocortisone valerate 2 MG/ML Topical Cream,SCD,D07AA02|D07XA01,C05AA01|D07AA02|D07XA01,route_filter,UNCONFIRMED
1302617,benzethonium chloride 2 MG/ML Medicated Shampoo,SCD,D08AJ08,R02AA09|D08AJ08,route_filter,UNCONFIRMED
753533,{21 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack [Levlen 21 Day],BPCK,G03AA07,G03CA01|L02AA03|G03AC03|G03AD01,history+per_ingredient,UNCONFIRMED
866461,24 HR hydrochlorothiazide 12.5 MG / metoprolol succinate 25 MG Extended Release Oral Tablet,SCD,C07BB02,C03AA03|C07AB02,history+per_ingredient,UNCONFIRMED
637542,aspirin 325 MG / oxycodone hydrochloride 4.5 MG / oxycodone terephthalate 0.38 MG Oral Tablet [Percodan],SBD,N02AJ18,A01AD05|B01AC06|N02BA01|N02AA05,history+per_ingredient,UNCONFIRMED
763228,24 HR niacin 1000 MG / simvastatin 20 MG Extended Release Oral Tablet [Simcor],SBD,C10AD52,C10AA01|C04AC01|C10AD02,history+per_ingredient,UNCONFIRMED
205256,"diphtheria toxoid vaccine, inactivated 20 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",SCD,J07CA02,J07AF01|J07AM01,history+per_ingredient,UNCONFIRMED
857178,fosinopril sodium 20 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Monopril-HCT],SBD,C09BA09,C09AA09|C03AA03,history+per_ingredient,UNCONFIRMED
1660750,betamethasone 6 MG/ML Injectable Suspension [Betavet],SBD,H02AB01,A07EA04|H02AB01,route_filter,UNCONFIRMED
313138,sulfanilamide 1050 MG Vaginal Insert,SCD,D06BA05,J01EB06,route_filter,UNCONFIRMED
2106368,buprenorphine 16 MG / naloxone 4 MG Sublingual Film [Cassipa],SBD,N07BC51,N02AE01|N07BC01|A06AH04|V03AB15,history+per_ingredient,CONFIRMED
