rxcui,drug_name,tty,our_value,resolver_value,provenance,who_check
253182,"insulin, regular, human",IN,A10AB01|A10AC01|A10AD01|A10AE01,A10AB01|A10AC01|A10AD01|A10AE01|A10AF01,route_filter,UNCONFIRMED
253337,bevacizumab,IN,S01LA08,L01FG01|S01LA08,route_filter,UNCONFIRMED
2535748,ezetimibe / rosuvastatin,MIN,C10BA06,C10BA06|C10AA07|C10AX09,route_filter,CONFIRMED
2599041,bevacizumab-maly,PIN,S01LA08,L01FG01|S01LA08,route_filter,UNCONFIRMED
2599043,4 ML bevacizumab-maly 25 MG/ML Injection,SCD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2599045,Alymsys,BN,S01LA08,L01FG01,route_filter,UNCONFIRMED
2599049,4 ML bevacizumab-maly 25 MG/ML Injection [Alymsys],SBD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2599051,16 ML bevacizumab-maly 25 MG/ML Injection,SCD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2599052,16 ML bevacizumab-maly 25 MG/ML Injection [Alymsys],SBD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2611248,atorvastatin 10 MG / ezetimibe 10 MG Oral Tablet [Lypqozet],SBD,C10BA05,C10AX09|C10AA05,history+per_ingredient,UNCONFIRMED
2611250,atorvastatin 20 MG / ezetimibe 10 MG Oral Tablet [Lypqozet],SBD,C10BA05,C10AX09|C10AA05,history+per_ingredient,UNCONFIRMED
2611252,atorvastatin 40 MG / ezetimibe 10 MG Oral Tablet [Lypqozet],SBD,C10BA05,C10AX09|C10AA05,history+per_ingredient,UNCONFIRMED
2611254,atorvastatin 80 MG / ezetimibe 10 MG Oral Tablet [Lypqozet],SBD,C10BA05,C10AX09|C10AA05,history+per_ingredient,UNCONFIRMED
2627648,bevacizumab-adcd,PIN,S01LA08,L01FG01|S01LA08,route_filter,UNCONFIRMED
2627650,4 ML bevacizumab-adcd 25 MG/ML Injection,SCD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2627652,Vegzelma,BN,S01LA08,L01FG01,route_filter,UNCONFIRMED
2627656,4 ML bevacizumab-adcd 25 MG/ML Injection [Vegzelma],SBD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2627658,16 ML bevacizumab-adcd 25 MG/ML Injection,SCD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2627659,16 ML bevacizumab-adcd 25 MG/ML Injection [Vegzelma],SBD,S01LA08,L01FG01,route_filter,UNCONFIRMED
