rxcui,drug_name,tty,production,new_final
1300272,ketoconazole 20 MG/ML Topical Foam [Ketodan],SBD,D01AC08|J02AB02,D01AC08
865163,capsaicin 2.5 MG/ML Topical Cream [Axsain],SBD,N01BX04,M02AB01
1921129,capsaicin 0.02 MG/ML / menthol 100 MG/ML / methyl salicylate 200 MG/ML Topical Cream,SCD,N01BX04,M02AC
315077,diethylstilbestrol 1 MG Delayed Release Oral Tablet,SCD,L02AA01|L02AA04,G03CB02|G03CC05|L02AA01
314994,bacitracin 0.4 UNT/MG / diperodon 0.01 MG/MG / neomycin 0.005 MG/MG / polymyxin B 5 UNT/MG Topical Ointment,SCD,A07AA01|D06AX04|S01AA03,D06AX04|D06AX05
1807636,2 ML sodium chloride 9 MG/ML Injection,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,B05XA03
1091836,roflumilast,IN,R03DX07,D05AX06|R03DX07
1049176,benzethonium chloride 0.0015 MG/MG / diphenhydramine hydrochloride 0.02 MG/MG / zinc acetate 0.00215 MG/MG Topical Gel [Calagel],SBD,A16AX05|R02AA09,D04AA32|D08AJ08
1534833,dimethicone 36 MG/ML Medicated Pad,SCD,P03AX05,D02AA
1294192,diphenhydramine hydrochloride 1.25 MG/ML / phenylephrine hydrochloride 0.5 MG/ML Oral Solution [Robitussin Night Time Cough and Cold],SBD,D04AA32|R01AA04|R06AA02|S01FB01|S01XA20,R06AA02|R01BA03
261345,ciclopirox 80 MG/ML Topical Solution [Penlac Nail Lacquer],SBD,D01AE14|G01AX12,D01AE14
197952,deserpidine 0.5 MG / methyclothiazide 5 MG Oral Tablet,SCD,C02AA05|C03AA08,C02LA03
631504,sodium chloride 0.154 MEQ/ML Irrigation Solution [Saljet],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,B05CB01
1085785,triamcinolone acetonide 1 MG/ML Topical Cream [Zytopic],SBD,A01AC01|H02AB08|R01AD11,C05AA12|D07AB09|D07XB02
748865,{6 (ethinyl estradiol 0.03 MG / levonorgestrel 0.05 MG Oral Tablet) / 10 (ethinyl estradiol 0.03 MG / levonorgestrel 0.125 MG Oral Tablet) / 5 (ethinyl estradiol 0.04 MG / levonorgestrel 0.075 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Trivora 28 Day],BPCK,G03AC03|G03CA01,G03AA07
729908,benzocaine 3 MG / menthol 3 MG Oral Film,SCD,C05AD03|D04AB04|R02AD01,C05AD03|R02AD01
1085762,triamcinolone acetonide 1 MG/ML Topical Cream [Aricin],SBD,A01AC01|H02AB08|R01AD11,D07AB09
1039030,benzethonium chloride 1.3 MG/ML Medicated Liquid Soap [Lysol Healthy Touch],SBD,D08AJ08|R02AA09,D08AJ08
1085985,triamcinolone acetonide 3 MG/ML Injectable Suspension,SCD,A01AC01|H02AB08|R01AD11,H02AB08
731536,ibuprofen 100 MG Chewable Tablet [Advil],SBD,M01AE01|M01AE14|M02AA13,M01AE01
2104586,cetylpyridinium chloride 0.85 MG/ML Mucosal Spray,SCD,B05CA01|D08AJ03|D09AA07|R02AA06,R02AA06
2121735,{39 (dexamethasone 1.5 MG Oral Tablet) } Pack [Dxevo 11 Day Taper],BPCK,H02AB02|S01BA01,H02AB02
282746,calcium carbonate 250 MG / magnesium oxide 125 MG Oral Capsule,SCD,A02AA02|A02AA04|A12AA04,A02AD01
751553,{28 (ethinyl estradiol 0.02 MG / levonorgestrel 0.09 MG Oral Tablet) } Pack,GPCK,G03AC03|G03CA01,G03AA07
1600130,lidocaine hydrochloride 37.5 MG/ML Topical Cream,SCD,D04AB01|N01BB02|R02AD02,D04AB01
313249,tetracycline hydrochloride 10 MG/ML Ophthalmic Suspension,SCD,D06AA04|J01AA07,S01AA09
483448,pregabalin 50 MG Oral Capsule,SCD,N02BF02|N03AX16,N02BF02
1046713,12 HR atropine sulfate 0.04 MG / chlorpheniramine maleate 8 MG / hyoscyamine sulfate 0.19 MG / phenylephrine hydrochloride 25 MG / phenylpropanolamine hydrochloride 50 MG / scopolamine hydrobromide 0.01 MG Extended Release Oral Tablet,SCD,A03BA03|R01BA01|R06AB04,A03BA01|A03BA03|A04AD01|N05CM05|R01BA01|R01BA03|R06AB04
