rxcui,drug_name,tty,production,new_final
806677,sodium chloride 5 MG/ML Nasal Spray,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX
853517,povidone-iodine 0.1 MG/MG Medicated Bar Soap [Pharmadine],SBD,D08AG02|D09AA09|D11AC06|G01AX11|R02AA15,D11AC06
211313,aspirin 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule [Isollyl],SBD,N06BC01,N02BA71
1245259,povidone-iodine 65 MG/ML Medicated Liquid Soap [E-Z Scrub Povidone Iodine],SBD,D08AG02|D09AA09|D11AC06|G01AX11|R02AA15,D08AG02
106258,hydrocortisone 10 MG/ML Topical Cream,SCD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07AA02
213641,betamethasone 0.5 MG/ML / clotrimazole 10 MG/ML Topical Cream [Lotrisone],SBD,D01AC01|D07AC01|H02AB01|S01BA06|S03BA03,D01AC01|D07AC01
1011851,lidocaine hydrochloride 0.005 MG/MG Topical Gel [Solarcaine],SBD,D04AB01|N01BB02|R02AD02,D04AB01
577799,choline bitartrate 648 MG Oral Tablet,SCD,N02BA03,N02BA03|N07AX02
1294367,diphenhydramine tannate 5 MG/ML Extended Release Suspension,SCD,D04AA32|R06AA02,R06AA02
993776,ivermectin 5 MG/ML Topical Solution [Agri-Mectin],SBD,D11AX22|P02CF01,D11AX22
1052416,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Pamprin Max Formula],SBD,N02BE01|N06BC01,N02BE01
486515,sodium chloride 0.154 MEQ/ML Irrigation Solution,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,B05CB01
309289,ciclopirox 7.7 MG/ML Topical Cream,SCD,D01AE14|G01AX12,D01AE14
1535503,{1 (75000 MG) (miconazole nitrate 0.02 MG/MG Medicated Bar Soap) / 1 (25000 MG) (miconazole nitrate 0.02 MG/MG Vaginal Ointment) } Pack,GPCK,A01AB09|D01AC02|G01AF04,G01AF04
857725,chlorpheniramine maleate 0.2 MG/ML / hydrocodone bitartrate 0.5 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [Histussin-HC],SBD,R05DA03|R06AB04,R01BA03|R05DA03|R06AB04
1733890,epinephrine hydrochloride 0.0001 MG/MG / lidocaine hydrochloride 0.05 MG/MG Rectal Gel,SCD,C01CA24|D04AB01|N01BB02|R02AD02|S01EA01,N01BB02
1368300,salicylic acid 5 MG/ML Medicated Liquid Soap [Santalia Daily Cleanser],SBD,D01AE12|N02BA04,D01AE12
197804,ibuprofen 300 MG Oral Tablet,SCD,M01AE14,M01AE01
1190542,0.7 ML atropine sulfate 2.86 MG/ML Auto-Injector,SCD,A03BA01|S01FA01,A03BA01
866357,benzyl alcohol 0.1 ML/ML Oral Gel [Zilactin Cold Sore],SBD,P03AX06,A01AD
1431687,benzalkonium chloride 0.0013 MG/MG / lidocaine hydrochloride 0.02 MG/MG Topical Gel [Cicloferon],SBD,D04AB01|D08AJ01|D08AJ08|N01BB02|R02AA16|R02AD02,D04AB01
243459,aluminum hydroxide 400 MG / magnesium hydroxide 400 MG Oral Tablet,SCD,A02AB01,A02AA04|A02AB01|G04BX01
1037205,povidone-iodine 10 MG/ML Medicated Pad,SCD,D08AG02|D09AA09|D11AC06|G01AX11|R02AA15,D08AG02
1000352,"estrogens, conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet",SCD,G03CA57,G03FA12
1436947,hydrocortisone acetate 19 MG/ML / iodoquinol 10 MG/ML Topical Cream,SCD,G01AC01,D07AA02|G01AC01
1052709,Hydrogen Peroxide 15 MG/ML Mucous Membrane Topical Solution [Orajel Mouth Sore Rinse],SBD,A01AB02|D08AX01,D08AX01
1674200,hydrocortisone acetate 30 MG Rectal Suppository [Hemmorex],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,C05AA01
858364,ketorolac tromethamine 4.5 MG/ML Ophthalmic Solution,SCD,M01AB15|S01BC05,S01BC05
749151,{12 (ethinyl estradiol 0.035 MG / norethindrone 0.5 MG Oral Tablet) / 9 (ethinyl estradiol 0.035 MG / norethindrone 1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Tri-Norinyl 28 Day],BPCK,G03AA05,G03AB04
1039716,salicylic acid 20 MG/ML Medicated Liquid Soap [St. Ives Blemish & Blackhead Control],SBD,D01AE12|N02BA04,D01AE12
1244579,{1 (12 HR chlorpheniramine maleate 4 MG / methscopolamine nitrate 2.5 MG Extended Release Oral Tablet [Allerx DF AM]) / 1 (12 HR chlorpheniramine maleate 8 MG / methscopolamine nitrate 2.5 MG Extended Release Oral Tablet [AlleRx PM]) } Pack [AlleRx DF Sample],BPCK,R06AB04,A03BB03|R06AB04
645459,sodium fluoride 2 MG/ML Mouthwash [CaviRinse],SBD,A01AA01,A01AA01|A12CD01
1039681,capsaicin 0.08 MG/MG Medicated Patch [Qutenza],SBD,N01BX04,M02AB01
403941,guaifenesin 200 MG / phenylephrine tannate 25 MG / pyrilamine tannate 60 MG Oral Tablet,SCD,R05CA03,R01BA03|R05CA03|R06AC01
1657660,50 ML cetuximab 2 MG/ML Injection [Erbitux],SBD,L01XC06,L01FE01
1546204,hydrogen peroxide 5 MG/ML / lactic acid 17 MG/ML Topical Spray [Astri-UC],SBD,A01AB02|D08AX01|G01AD01,D08AX01
1797857,ketorolac tromethamine 15.8 MG/ACTUAT Metered Dose Nasal Spray [Sprix],SBD,M01AB15|S01BC05,M01AB15
858905,dexbrompheniramine maleate 0.2 MG/ML / hydrocodone bitartrate 0.5 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [H C Tussive-NR],SBD,R05DA03|R06AB06,R01BA03|R05DA03|R06AB06
1087245,calcium ascorbate 60 MG / calcium threonate 0.8 MG / ferrous asparto glycinate 50 MG / folic acid 1 MG / polysaccharide iron complex 100 MG / succinic acid 50 MG / vitamin B12 0.025 MG Oral Capsule,SCD,B03BA01|B03BB01,B03AE01
1423416,guaifenesin 1000 MG / phenylephrine hydrochloride 30 MG Oral Tablet,SCD,R05CA03,R01BA03|R05CA03
