rxcui,drug_name,tty,production,new_final
1738589,hydrocortisone 1000 MG Injection [Solu-Cortef],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,H02AB09
1193353,ruxolitinib 25 MG Oral Tablet [Jakafi],SBD,L01XE18,L01EJ01
1373142,lidocaine hydrochloride 0.04 MG/MG / menthol 0.01 MG/MG Topical Gel [Lenzagel],SBD,D04AB01|N01BB02|R02AD02,D04AB01
1926571,hydrocortisone 10 MG/ML Medicated Shampoo,SCD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07AA02
832907,calcium carbonate 1000 MG / cholecalciferol 133 UNT Oral Tablet,SCD,A11CC05,A11CC05|A12AA04
312894,salicylic acid 600 MG/ML Topical Cream,SCD,D01AE12|N02BA04,D11AF
990993,physostigmine salicylate 1.25 MG/ML / pilocarpine hydrochloride 20 MG/ML Ophthalmic Solution,SCD,N07AX01|S01EB01,S01EB01|S01EB05
208589,dexamethasone 1 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Suspension [Dexacidin],SBD,A07AA01|D06AX04|H02AB02|S01AA03|S01BA01,S01AA03|S01AA18|S01BA01
2046141,Mvasi,BN,S01LA08,L01FG01
1297551,carbetapentane tannate 30 MG / diphenhydramine tannate 25 MG / phenylephrine tannate 10 MG Extended Release Oral Tablet [Dytan-CS],SBD,R05DB05,R01BA03|R05DB05|R06AA02
701627,cholecalciferol 0.01 MG / vitamin A 0.24 MG Oral Capsule,SCD,A11CA01,A11CB
1086475,12 HR chlorpheniramine maleate 8 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet,SCD,R06AB04,R01BA03|R06AB04
313908,clioquinol 0.03 MG/MG / hydrocortisone 0.01 MG/MG Topical Gel,SCD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07BA04
1006703,sulfacetamide sodium 100 MG/ML Ophthalmic Solution [Sulf-10],SBD,D10AB02,S01AB04
580294,sertaconazole 20 MG/ML Topical Cream [Ertaczo],SBD,D01AC14|G01AF19,D01AC14
1116912,atropine sulfate 15 MG/ML Injectable Solution,SCD,A03BA01|S01FA01,A03BA01
1436929,capsaicin 0.25 MG/ML Topical Cream [Pure Relief],SBD,N01BX04,M02AB01
1798481,calamine 4 MG/ML / pramoxine hydrochloride 10 MG/ML / zinc oxide 4 MG/ML Topical Cream,SCD,C05AX04,D04AB07
259047,gentamicin 0.4 MG/ML Injectable Solution,SCD,D06AX07|S03AA06,J01GB03
750245,{21 (ethinyl estradiol 0.03 MG / norgestrel 0.3 MG Oral Tablet) } Pack [Low-Ogestrel 21 Day],BPCK,G03CA01,G03AA06
108329,ketoconazole 20 MG/ML Topical Cream [Nizoral],SBD,D01AC08|J02AB02,D01AC08
