rxcui,drug_name,tty,production,new_final
312186,oxytetracycline 0.005 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment,SCD,J01AA06,S01AA30
198531,calcium carbonate 600 MG Oral Capsule,SCD,A12AA04,A02AC01|A12AA04
744632,amlodipine 5 MG / olmesartan medoxomil 20 MG Oral Tablet [Azor],SBD,C08CA01|C09DB02,C09DB02
750244,{21 (ethinyl estradiol 0.03 MG / norgestrel 0.3 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Low-Ogestrel 28 Day],BPCK,G03CA01,G03AA06
1087258,24 HR calcium carbonate 200 MG / folic acid 1 MG / pyridoxine 75 MG / vitamin B12 0.012 MG Extended Release Oral Tablet,SCD,A11HA02|B03BA01|B03BB01,A11JB
1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD,C03AA03|C08CA01,C09DX03
1086386,glucose 50 MG/ML Oral Solution [Enfamil Glucose],SBD,B05BA03|V06DC01,V06DC01
1099585,pseudoephedrine hydrochloride 60 MG / triprolidine hydrochloride 2.5 MG Oral Tablet [Atridine],SBD,R01BA02|R01BA52|R06AX07,R01BA02|R06AX07
417547,dimethicone 25 MG/ML Topical Cream,SCD,P03AX05,D02AA
238154,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet,SCD,N02BE01|N06BC01,N02BE01
2047879,benzalkonium chloride 1.3 MG/ML / lidocaine hydrochloride 40 MG/ML Topical Spray [Bactine],SBD,D04AB01|D08AJ01|D08AJ08|N01BB02|R02AA16|R02AD02,C05AD01|D04AB01|D08AJ01|D09AA11
1045348,benzocaine 0.2 MG/MG Oral Gel [Ultracare],SBD,R02AD01,C05AD03|D04AB04|N01BA05|R02AD01
991519,codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / promethazine hydrochloride 1.25 MG/ML Oral Solution,SCD,R05CA03|R05DA04,R05CA03|R05DA04|R06AD02
309700,dexamethasone 0.084 MG/ACTUAT Nasal Inhalant,SCD,H02AB02|S01BA01,R01AD03
1314399,dexpanthenol 5 MG/ML / niacinamide 12.5 MG/ML / pyridoxine hydrochloride 5 MG/ML / riboflavin 2 MG/ML / thiamine hydrochloride 12.5 MG/ML / vitamin B12 0.005 MG/ML Injectable Solution,SCD,A11DA01|A11HA01|A11HA02|A11HA04|B03BA01,A11DA01|A11HA01|A11HA02|A11HA04|A11HA30|B03BA01
1038741,benzalkonium chloride 1.2 MG/ML Medicated Pad,SCD,D08AJ01|D08AJ08|R02AA16,D09AA11
1944692,miconazole nitrate 20 MG/ML Medicated Shampoo,SCD,A01AB09|D01AC02|G01AF04,D01AC02
1090699,chlorpheniramine maleate 2 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet,SCD,R01BA02|R06AB04,R01BA02
1241796,cupric oxide 1.5 MG / folic acid 0.5 MG / niacinamide 750 MG / zinc oxide 25 MG Oral Tablet,SCD,A11HA01|B03BB01,A11JB
763106,"poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML Injectable Suspension [Ipol]",SBD,J07CA01,J07BF03
211684,niacin 50 MG Oral Tablet [B-3-50],SBD,C10AD02,C04AC01
1996965,benzocaine 200 MG/ML Mucous Membrane Topical Solution [Gingicaine],SBD,C05AD03|D04AB04|R02AD01,R02AD01
311930,neomycin 5 MG/ML Topical Cream,SCD,A07AA01|D06AX04|S01AA03,D06AX04
260402,prednisolone 50 MG/ML Injectable Suspension [Predicort-50],SBD,A07EA01|H02AB06|S01BA04|S03BA02,H02AB06
1308577,hydrocodone bitartrate 0.332 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [Nalex DH],SBD,R05DA03,R01BA03|R05DA03
2000543,salicylic acid 0.02 MG/MG Medicated Bar Soap [Asepxia],SBD,D01AE12|N02BA04,D01AE12
992682,homatropine methylbromide 0.3 MG/ML / hydrocodone bitartrate 1 MG/ML Oral Solution [Hydropane],SBD,R05DA03|S01FA05,A03BB06|R05DA03
851210,{60 (caffeine 65 MG / riboflavin 6.25 MG / thiamine 25 MG / vitamin B12 0.125 MG / vitamin B6 25 MG Oral Capsule) / 60 (ibuprofen 400 MG Oral Tablet) } Pack [IC 400 Kit],BPCK,A11DA01|A11HA04|B03BA01|M01AE01|M01AE14|N06BC01,M01AE01|A11DA01|A11HA04|B03BA01|N06BC01
2001424,efavirenz 400 MG / lamivudine 300 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet,SCD,J05AF05|J05AF07|J05AG03,J05AR11
1294248,chloroxylenol 1 MG/ML / hydrocortisone 10 MG/ML / pramoxine hydrochloride 10 MG/ML Otic Solution [Oticin HC Ear Drops],SBD,D08AE05,S02BA01
207060,nandrolone 50 MG/ML Injectable Solution [Durabolin 50],SBD,A14AB01|S01XA11,A14AB01
1000686,sulfacetamide sodium 0.1 MG/MG Ophthalmic Ointment [Sodium Sulamyd],SBD,D10AB02,S01AB04
1000095,doxepin hydrochloride 50 MG/ML Topical Cream [Zonalon],SBD,N06AA12,D04AX01
999608,sulfacetamide sodium 100 MG/ML / sulfur 10 MG/ML Medicated Liquid Soap [Cerisa Wash],SBD,D10AB02,D10AB02|D10AF06
261349,bexarotene 75 MG Oral Capsule [Targretin],SBD,L01XX25,L01XF03
1483665,ethanol 0.554 ML/ML Topical Gel,SCD,D08AX08|V03AB16|V03AZ01,D08AX08
832739,potassium chloride 2.67 MEQ/ML Oral Solution [Kaon-Cl],SBD,A12BA01|B05XA01,A12BA01
198463,aspirin 200 MG Rectal Suppository,SCD,B01AC06|N02BA01|N02BA51,N02BA01
348719,tobramycin 60 MG/ML Inhalation Solution,SCD,J01GB01|S01AA12,J01GB01
998530,miconazole nitrate 0.02 MG/MG Powder Spray [Cruex Prescription Strength],SBD,A01AB09|D01AC02|G01AF04,D01AC02
1372312,acetaminophen 32 MG/ML / chlorpheniramine maleate 0.2 MG/ML / phenylephrine hydrochloride 0.5 MG/ML Oral Suspension,SCD,N02BE01|R06AB04,R01BA03
252971,benzocaine 0.2 MG/MG Rectal Ointment,SCD,C05AD03|D04AB04|R02AD01,C05AD03
1546212,povidone-iodine 7.5 MG/ML Topical Solution,SCD,D08AG02|D09AA09|D11AC06|G01AX11|R02AA15,D08AG02
806527,hydrocortisone 25 MG/ML Injectable Suspension [Hydrocortone],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,H02AB09
1233698,calamine 30 MG/ML / pramoxine hydrochloride 10 MG/ML Topical Lotion,SCD,C05AD07|D04AB07,D04AB07
1050670,triclosan 5.5 MG/ML Medicated Liquid Soap,SCD,D08AE04,D08AE04|D09AA06
1657664,100 ML cetuximab 2 MG/ML Injection [Erbitux],SBD,L01XC06,L01FE01
797892,salicylic acid 20 MG/ML Medicated Pad,SCD,D01AE12|N02BA04,D01AE12
245043,ascorbic acid 250 MG / ferrous fumarate 150 MG Chewable Tablet,SCD,A11GA01,A11GA01|B03AA02
1114982,benzalkonium chloride 3.25 MG/ML Topical Cream [Mane 'N Tail Pro-Tect],SBD,D08AJ01|D08AJ08|R02AA16,D08AJ01|D09AA11
260851,aspirin 325 MG Delayed Release Oral Tablet [Genacote],SBD,B01AC06|N02BA01|N02BA51,B01AC06|N02BA01
1659993,ethanol 0.01 ML/ML Medicated Liquid Soap,SCD,D08AX08|V03AB16|V03AZ01,D08AX08
1858385,tetracaine 0.02 MG/MG Topical Ointment,SCD,C05AD02|D04AB06|N01BA03|S01HA03,D04AB06
1013042,lidocaine hydrochloride 10 MG/ML Injectable Solution [Dilocaine],SBD,D04AB01|N01BB02|R02AD02,N01BB02
859038,chlorpheniramine maleate 0.4 MG/ML / hydrocodone bitartrate 0.8 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [Notuss PD],SBD,R05DA03|R06AB04,R01BA03|R05DA03|R06AB04
857750,chlorpheniramine maleate 0.4 MG/ML / hydrocodone bitartrate 0.334 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [Endal-HD],SBD,R05DA03|R06AB04,R01BA03|R05DA03|R06AB04
1741930,salicylic acid 18 MG/ML Medicated Liquid Soap [Psoriwash],SBD,D01AE12|N02BA04,D01AE12
1116195,ephedrine hydrochloride 25 MG Oral Tablet,SCD,R01AA03|R03CA02,R03CA02
